group,layer_def,formal_def,layer_id,formal_layer,frac_ge2_layers,frac_ge1_layer,mean_conn,avg_layer_emp,avg_layer_wage,avg_totalflows_pw,n_firms,var_total,var_within,var_between,pct_within,pct_between,wsd_mean,wsd_median,frac_wsd_zero
all,edu,Education (3-levels),0_no_hs,Less than high school,0.953765,0.901811,0.009510,62.702636,1790.654983,0.208171,2833,0.003745,0.001818,0.001927,48.547999,51.452001,0.017096,0.005320,0.319449
all,edu,Education (3-levels),1_hs,High school diploma,0.953765,0.976168,0.013645,81.351179,2170.930314,0.271818,2833,0.003745,0.001818,0.001927,48.547999,51.452001,0.017096,0.005320,0.319449
all,edu,Education (3-levels),2_higher,Higher education,0.953765,0.750715,0.022173,37.782108,4715.519295,0.352691,2833,0.003745,0.001818,0.001927,48.547999,51.452001,0.017096,0.005320,0.319449
all,edu2,Education (2-levels),no_hs,Less than high school,0.889418,0.901811,0.009510,62.702636,1790.654983,0.208171,3732,0.001680,0.000489,0.001191,29.101159,70.898841,0.010201,0.002196,0.417738
all,edu2,Education (2-levels),has_hs,High school or above,0.889418,0.987369,0.014779,105.721301,2627.955377,0.273761,3732,0.001680,0.000489,0.001191,29.101159,70.898841,0.010201,0.002196,0.417738
all,gender,Gender,female,Female,0.897283,0.925643,0.010301,57.181338,2155.965446,0.245937,3765,0.002505,0.000842,0.001663,33.608511,66.391489,0.011180,0.002255,0.414874
all,gender,Gender,male,Male,0.897283,0.971401,0.014922,109.712946,2610.583715,0.268919,3765,0.002505,0.000842,0.001663,33.608511,66.391489,0.011180,0.002255,0.414874
all,race,Race,nonwhite,Non-white,0.843184,0.870114,0.016188,71.931358,2242.533026,0.283842,3538,0.003817,0.001510,0.002307,39.570788,60.429212,0.012950,0.002009,0.414358
all,race,Race,white,White,0.843184,0.970925,0.012716,97.803418,2608.683196,0.255515,3538,0.003817,0.001510,0.002307,39.570788,60.429212,0.012950,0.002009,0.414358
small,edu,Education (3-levels),0_no_hs,Less than high school,0.909004,0.818966,0.007489,5.293841,1686.908625,0.221835,910,0.004279,0.002078,0.002200,48.575680,51.424320,0.017634,0.000000,0.668132
small,edu,Education (3-levels),1_hs,High school diploma,0.909004,0.953065,0.011919,6.965273,2139.589767,0.287935,910,0.004279,0.002078,0.002200,48.575680,51.424320,0.017634,0.000000,0.668132
small,edu,Education (3-levels),2_higher,Higher education,0.909004,0.572318,0.020364,3.702216,4428.098343,0.408439,910,0.004279,0.002078,0.002200,48.575680,51.424320,0.017634,0.000000,0.668132
small,edu2,Education (2-levels),no_hs,Less than high school,0.794061,0.818966,0.007489,5.293841,1686.908625,0.221835,1658,0.001827,0.000630,0.001197,34.492750,65.507250,0.010824,0.000000,0.726176
small,edu2,Education (2-levels),has_hs,High school or above,0.794061,0.974617,0.013288,8.496856,2498.108036,0.288587,1658,0.001827,0.000630,0.001197,34.492750,65.507250,0.010824,0.000000,0.726176
small,gender,Gender,female,Female,0.797414,0.854406,0.007589,5.782310,1902.149165,0.267553,1665,0.002778,0.000927,0.001851,33.380627,66.619373,0.012426,0.000000,0.722523
small,gender,Gender,male,Male,0.797414,0.942529,0.014224,7.989881,2509.418363,0.286121,1665,0.002778,0.000927,0.001851,33.380627,66.619373,0.012426,0.000000,0.722523
small,race,Race,nonwhite,Non-white,0.731801,0.775383,0.016317,5.020398,2187.296600,0.319093,1528,0.005285,0.002263,0.003022,42.828590,57.171410,0.015853,0.000000,0.724476
small,race,Race,white,White,0.731801,0.953544,0.010941,8.769419,2442.909578,0.271723,1528,0.005285,0.002263,0.003022,42.828590,57.171410,0.015853,0.000000,0.724476
large,edu,Education (3-levels),0_no_hs,Less than high school,0.998102,0.983871,0.011177,104.855287,1866.831186,0.196905,1923,0.003490,0.001695,0.001795,48.566953,51.433047,0.016841,0.007024,0.154446
large,edu,Education (3-levels),1_hs,High school diploma,0.998102,0.999051,0.015276,148.278336,2199.128312,0.256590,1923,0.003490,0.001695,0.001795,48.566953,51.433047,0.016841,0.007024,0.154446
large,edu,Education (3-levels),2_higher,Higher education,0.998102,0.927419,0.023278,55.583288,4865.649827,0.318615,1923,0.003490,0.001695,0.001795,48.566953,51.433047,0.016841,0.007024,0.154446
large,edu2,Education (2-levels),no_hs,Less than high school,0.983871,0.983871,0.011177,104.855287,1866.831186,0.196905,2074,0.001558,0.000376,0.001182,24.135094,75.864906,0.009703,0.004782,0.171167
large,edu2,Education (2-levels),has_hs,High school or above,0.983871,1.000000,0.016217,196.642301,2749.384203,0.259448,2074,0.001558,0.000376,0.001182,24.135094,75.864906,0.009703,0.004782,0.171167
large,gender,Gender,female,Female,0.996205,0.996205,0.012604,98.135157,2358.201684,0.227574,2100,0.002286,0.000774,0.001512,33.872159,66.127841,0.010191,0.004768,0.170952
large,gender,Gender,male,Male,0.996205,1.000000,0.015573,200.536535,2700.909350,0.252859,2100,0.002286,0.000774,0.001512,33.872159,66.127841,0.010191,0.004768,0.170952
large,race,Race,nonwhite,Non-white,0.953510,0.963947,0.016086,118.455742,2280.939898,0.255755,2010,0.002701,0.000938,0.001763,34.736338,65.263662,0.010743,0.004303,0.178607
large,race,Race,white,White,0.953510,0.988140,0.014413,180.393216,2762.458270,0.240022,2010,0.002701,0.000938,0.001763,34.736338,65.263662,0.010743,0.004303,0.178607
