spec;section;outcome;row_type;value
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_main";   0.0015
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_main_se";   0.0048"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_pre";  -0.0021
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_pre_se";   0.0053"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_pre_ftest";   0.9421"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_n_obs";      27,239"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_n_firms";       3,661"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_0_no_hs_main";   0.0011
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_0_no_hs_main_se";   0.0028"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_0_no_hs_pre";  -0.0017
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_0_no_hs_pre_se";   0.0021"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_0_no_hs_pre_ftest";   0.2421"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_0_no_hs_n_obs";      28,334"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_0_no_hs_n_firms";       3,653"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_0_no_hs_main";   0.0075**
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_0_no_hs_main_se";   0.0034"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_0_no_hs_pre";   0.0050
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_0_no_hs_pre_se";   0.0053"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_0_no_hs_pre_ftest";   0.1984"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_0_no_hs_n_obs";      20,292"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_0_no_hs_n_firms";       2,898"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_1_hs_main";   0.0051
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_1_hs_main_se";   0.0035"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_1_hs_pre";  -0.0079**
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_1_hs_pre_se";   0.0031"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_1_hs_pre_ftest";   0.0034"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_1_hs_n_obs";      26,996"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_1_hs_n_firms";       3,688"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_1_hs_main";   0.0081***
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_1_hs_main_se";   0.0025"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_1_hs_pre";  -0.0034
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_1_hs_pre_se";   0.0033"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_1_hs_pre_ftest";   0.3560"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_1_hs_n_obs";      31,500"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_1_hs_n_firms";       4,060"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_1_hs_main";   0.0012
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_1_hs_main_se";   0.0042"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_1_hs_pre";   0.0130**
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_1_hs_pre_se";   0.0064"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_1_hs_pre_ftest";   0.1254"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_1_hs_n_obs";      22,475"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_1_hs_n_firms";       3,215"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_2_higher_main";   0.0011
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_2_higher_main_se";   0.0014"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_2_higher_pre";  -0.0027**
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_2_higher_pre_se";   0.0013"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_2_higher_pre_ftest";   0.2145"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_2_higher_n_obs";      20,908"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_0_no_hs";"c_2_higher_n_firms";       2,812"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_2_higher_main";   0.0002
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_2_higher_main_se";   0.0010"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_2_higher_pre";   0.0004
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_2_higher_pre_se";   0.0013"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_2_higher_pre_ftest";   0.8446"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_2_higher_n_obs";      23,892"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_2_higher_n_firms";       3,062"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_2_higher_main";  -0.0052*
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_2_higher_main_se";   0.0027"
