spec;section;outcome;row_type;value
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_white_main";   0.0076*
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_white_main_se";   0.0039"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_white_pre";  -0.0015
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_white_pre_se";   0.0036"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_white_pre_ftest";   0.0419"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_white_n_obs";      31,203"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_white_n_firms";       4,035"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_white_main";   0.0090***
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_white_main_se";   0.0028"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_white_pre";   0.0027
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_white_pre_se";   0.0031"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_white_pre_ftest";   0.5975"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_white_n_obs";      25,817"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_white_n_firms";       3,619"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_nonwhite_main";   0.0034**
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_nonwhite_main_se";   0.0017"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_nonwhite_pre";  -0.0001
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_nonwhite_pre_se";   0.0009"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_nonwhite_pre_ftest";   0.5363"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_nonwhite_n_obs";      26,830"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_white";"c_nonwhite_n_firms";       3,486"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_nonwhite_main";   0.0026
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_nonwhite_main_se";   0.0033"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_nonwhite_pre";  -0.0018
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_nonwhite_pre_se";   0.0028"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_nonwhite_pre_ftest";   0.9781"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_nonwhite_n_obs";      26,099"
"disentangle_race";"layer_firm_year";"lr_remdezr_layer_nonwhite";"c_nonwhite_n_firms";       3,552"
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_white";"c_white_main";   0.0021
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_white";"c_white_main_se";   0.0032"
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_white";"c_white_pre";  -0.0020
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_white";"c_white_pre_se";   0.0035"
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_white";"c_white_pre_ftest";   0.1168"
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_white";"c_white_n_obs";      30,391"
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_white";"c_white_n_firms";       3,957"
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_nonwhite";"c_white_main";   0.0087**
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_nonwhite";"c_white_main_se";   0.0039"
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_nonwhite";"c_white_pre";  -0.0046
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_nonwhite";"c_white_pre_se";   0.0052"
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_nonwhite";"c_white_pre_ftest";   0.3018"
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_nonwhite";"c_white_n_obs";      25,081"
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_nonwhite";"c_white_n_firms";       3,618"
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_white";"c_nonwhite_main";   0.0029*
