layer,outcome,spec,main,main_se,pre,pre_se,n_obs,n_firms,pre_pval
edu,lr_remdezr_layer,within_small,0.0006,(0.0032),-0.0018,(0.0041),"36,116","2,143",0.193
edu,lr_remdezr_layer,within_large,-0.0055,(0.0046),-0.0011,(0.0102),"40,756","1,793",0.261
edu,lr_remdezr_layer,cross_small,0.0029,(0.0026),-0.0020,(0.0044),"39,806","2,378",0.442
edu,lr_remdezr_layer,cross_large,-0.0030,(0.0041),-0.0002,(0.0074),"40,897","1,797",0.550
edu,lr_remdezr_h_layer,within_small,-0.0000,(0.0014),-0.0002,(0.0019),"36,116","2,143",0.301
edu,lr_remdezr_h_layer,within_large,-0.0029,(0.0019),0.0012,(0.0044),"40,756","1,793",0.325
edu,lr_remdezr_h_layer,cross_small,0.0011,(0.0011),-0.0004,(0.0020),"39,806","2,378",0.586
edu,lr_remdezr_h_layer,cross_large,-0.0018,(0.0019),0.0013,(0.0033),"40,897","1,797",0.587
edu,l_layer_emp,within_small,-0.0096**,(0.0047),0.0045,(0.0089),"36,116","2,143",0.254
edu,l_layer_emp,within_large,0.0217***,(0.0068),0.0015,(0.0073),"40,756","1,793",0.896
edu,l_layer_emp,cross_small,-0.0069*,(0.0039),-0.0013,(0.0060),"39,806","2,378",0.688
edu,l_layer_emp,cross_large,0.0122*,(0.0071),0.0102*,(0.0059),"40,897","1,797",0.209
edu2,lr_remdezr_layer,within_small,0.0049,(0.0056),0.0049,(0.0065),"23,214","1,745",0.003
edu2,lr_remdezr_layer,within_large,-0.0116,(0.0077),-0.0082,(0.0076),"29,374","1,900",0.458
edu2,lr_remdezr_layer,cross_small,0.0080**,(0.0035),0.0060,(0.0044),"29,159","2,225",0.052
edu2,lr_remdezr_layer,cross_large,-0.0024,(0.0054),-0.0058*,(0.0033),"30,041","1,931",0.125
edu2,lr_remdezr_h_layer,within_small,0.0018,(0.0022),0.0008,(0.0029),"23,214","1,745",0.001
edu2,lr_remdezr_h_layer,within_large,-0.0057*,(0.0030),0.0019,(0.0028),"29,374","1,900",0.705
edu2,lr_remdezr_h_layer,cross_small,0.0028**,(0.0014),0.0023,(0.0020),"29,159","2,225",0.085
edu2,lr_remdezr_h_layer,cross_large,-0.0017,(0.0024),-0.0011,(0.0018),"30,041","1,931",0.653
edu2,l_layer_emp,within_small,0.0010,(0.0151),-0.0043,(0.0135),"23,214","1,745",0.510
edu2,l_layer_emp,within_large,0.0110,(0.0207),-0.0030,(0.0288),"29,374","1,900",0.407
edu2,l_layer_emp,cross_small,-0.0050,(0.0081),-0.0074,(0.0078),"29,159","2,225",0.572
edu2,l_layer_emp,cross_large,-0.0045,(0.0129),0.0076,(0.0122),"30,041","1,931",0.425
gender,lr_remdezr_layer,within_small,-0.0019,(0.0036),0.0023,(0.0039),"25,136","1,798",0.582
gender,lr_remdezr_layer,within_large,0.0077,(0.0075),-0.0004,(0.0075),"30,308","1,931",0.510
gender,lr_remdezr_layer,cross_small,0.0012,(0.0025),0.0001,(0.0026),"30,109","2,220",0.862
gender,lr_remdezr_layer,cross_large,0.0047,(0.0036),0.0002,(0.0048),"30,598","1,941",0.605
gender,lr_remdezr_h_layer,within_small,-0.0005,(0.0014),0.0007,(0.0016),"25,136","1,798",0.560
gender,lr_remdezr_h_layer,within_large,0.0030,(0.0033),-0.0009,(0.0032),"30,308","1,931",0.558
gender,lr_remdezr_h_layer,cross_small,0.0008,(0.0009),-0.0002,(0.0010),"30,109","2,220",0.960
gender,lr_remdezr_h_layer,cross_large,0.0036*,(0.0018),-0.0002,(0.0020),"30,598","1,941",0.653
gender,l_layer_emp,within_small,-0.0066,(0.0046),0.0072,(0.0097),"25,136","1,798",0.091
gender,l_layer_emp,within_large,-0.0326*,(0.0171),0.0182,(0.0147),"30,308","1,931",0.462
gender,l_layer_emp,cross_small,-0.0016,(0.0044),-0.0010,(0.0068),"30,109","2,220",0.685
gender,l_layer_emp,cross_large,-0.0105,(0.0132),0.0164*,(0.0091),"30,598","1,941",0.195
race,lr_remdezr_layer,within_small,-0.0039,(0.0031),0.0002,(0.0048),"21,076","1,663",0.793
race,lr_remdezr_layer,within_large,-0.0007,(0.0048),-0.0080,(0.0075),"27,570","1,811",0.519
race,lr_remdezr_layer,cross_small,-0.0001,(0.0026),-0.0006,(0.0034),"28,075","2,245",0.901
race,lr_remdezr_layer,cross_large,0.0046,(0.0036),-0.0041,(0.0037),"28,784","1,891",0.543
race,lr_remdezr_h_layer,within_small,-0.0014,(0.0014),0.0006,(0.0019),"21,076","1,663",0.592
race,lr_remdezr_h_layer,within_large,-0.0002,(0.0027),-0.0023,(0.0039),"27,570","1,811",0.837
race,lr_remdezr_h_layer,cross_small,0.0002,(0.0011),-0.0008,(0.0013),"28,075","2,245",0.779
race,lr_remdezr_h_layer,cross_large,0.0033*,(0.0019),-0.0011,(0.0018),"28,784","1,891",0.804
race,l_layer_emp,within_small,0.0255***,(0.0066),-0.0105,(0.0081),"21,076","1,663",0.425
race,l_layer_emp,within_large,0.0113,(0.0172),-0.0203,(0.0181),"27,570","1,811",0.227
race,l_layer_emp,cross_small,0.0204***,(0.0062),-0.0041,(0.0055),"28,075","2,245",0.742
race,l_layer_emp,cross_large,0.0027,(0.0106),0.0050,(0.0099),"28,784","1,891",0.845
