
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="1.treat_ultra#2009.year",="-0.005",="-0.020",="0.004",="-0.004",="-0.007",="-0.011",="0.012",="0.008"
="",="(0.010)",="(0.013)",="(0.014)",="(0.020)",="(0.011)",="(0.016)",="(0.014)",="(0.021)"

="1.treat_ultra#2010.year",="0.004",="0.009",="0.022**",="0.029*",="0.010",="0.019",="0.025**",="0.036**"
="",="(0.007)",="(0.010)",="(0.010)",="(0.015)",="(0.008)",="(0.012)",="(0.010)",="(0.016)"

="1.treat_ultra#2011.year",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.treat_ultra#2012.year",="-0.009",="-0.028***",="-0.010",="-0.045***",="-0.012",="-0.034***",="-0.012",="-0.047***"
="",="(0.008)",="(0.011)",="(0.011)",="(0.015)",="(0.009)",="(0.013)",="(0.011)",="(0.015)"

="1.treat_ultra#2013.year",="-0.005",="-0.013",="-0.020",="-0.036*",="-0.016",="-0.026",="-0.019",="-0.037*"
="",="(0.011)",="(0.014)",="(0.015)",="(0.021)",="(0.012)",="(0.017)",="(0.015)",="(0.021)"

="1.treat_ultra#2014.year",="-0.007",="-0.024",="-0.009",="-0.036",="-0.013",="-0.034*",="-0.011",="-0.039"
="",="(0.013)",="(0.017)",="(0.018)",="(0.026)",="(0.014)",="(0.020)",="(0.018)",="(0.026)"

="1.treat_ultra#2015.year",="-0.002",="-0.024",="-0.023",="-0.072**",="-0.017",="-0.053**",="-0.022",="-0.072**"
="",="(0.015)",="(0.020)",="(0.020)",="(0.029)",="(0.017)",="(0.023)",="(0.020)",="(0.029)"

="1.treat_ultra#2016.year",="-0.010",="-0.037",="-0.040*",="-0.109***",="-0.029",="-0.078***",="-0.038",="-0.106***"
="",="(0.017)",="(0.024)",="(0.023)",="(0.034)",="(0.019)",="(0.028)",="(0.023)",="(0.034)"

="N",="131160",="126784",="112344",="108120",="121064",="116656",="112312",="108104"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
