
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="1.treat_ultra#2009.year",="0.003",="0.005",="0.001",="0.003",="0.004",="0.007",="-0.002",="0.001"
="",="(0.004)",="(0.005)",="(0.006)",="(0.008)",="(0.004)",="(0.006)",="(0.006)",="(0.009)"

="1.treat_ultra#2010.year",="0.005",="0.003",="0.002",="-0.001",="0.005",="0.003",="0.002",="-0.001"
="",="(0.003)",="(0.004)",="(0.005)",="(0.006)",="(0.003)",="(0.005)",="(0.005)",="(0.006)"

="1.treat_ultra#2011.year",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.treat_ultra#2012.year",="0.019***",="0.020***",="0.027***",="0.029***",="0.024***",="0.027***",="0.027***",="0.030***"
="",="(0.003)",="(0.004)",="(0.005)",="(0.007)",="(0.004)",="(0.006)",="(0.005)",="(0.007)"

="1.treat_ultra#2013.year",="0.018***",="0.017***",="0.024***",="0.020**",="0.022***",="0.023***",="0.023***",="0.020**"
="",="(0.004)",="(0.005)",="(0.006)",="(0.008)",="(0.004)",="(0.007)",="(0.006)",="(0.008)"

="1.treat_ultra#2014.year",="0.025***",="0.020***",="0.031***",="0.017**",="0.028***",="0.023***",="0.031***",="0.018**"
="",="(0.004)",="(0.005)",="(0.006)",="(0.009)",="(0.005)",="(0.007)",="(0.006)",="(0.009)"

="1.treat_ultra#2015.year",="0.023***",="0.016***",="0.030***",="0.013",="0.026***",="0.022***",="0.031***",="0.015"
="",="(0.005)",="(0.006)",="(0.007)",="(0.009)",="(0.005)",="(0.007)",="(0.007)",="(0.009)"

="1.treat_ultra#2016.year",="0.022***",="0.012*",="0.031***",="0.015",="0.026***",="0.018**",="0.032***",="0.016"
="",="(0.005)",="(0.007)",="(0.007)",="(0.010)",="(0.006)",="(0.008)",="(0.007)",="(0.010)"

="N",="130654",="126255",="111959",="107725",="120633",="116197",="111926",="107708"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
