
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="1.treat_ultra#2009.year",="-0.006*",="-0.005",="-0.009*",="-0.005",="-0.005",="-0.003",="-0.011**",="-0.007"
="",="(0.003)",="(0.004)",="(0.005)",="(0.007)",="(0.004)",="(0.005)",="(0.005)",="(0.007)"

="1.treat_ultra#2010.year",="-0.002",="-0.000",="-0.005",="0.000",="-0.001",="0.002",="-0.006",="-0.001"
="",="(0.002)",="(0.003)",="(0.004)",="(0.005)",="(0.003)",="(0.004)",="(0.004)",="(0.005)"

="1.treat_ultra#2011.year",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.treat_ultra#2012.year",="0.013***",="0.016***",="0.017***",="0.022***",="0.018***",="0.023***",="0.017***",="0.023***"
="",="(0.003)",="(0.003)",="(0.004)",="(0.005)",="(0.003)",="(0.004)",="(0.004)",="(0.005)"

="1.treat_ultra#2013.year",="0.014***",="0.017***",="0.019***",="0.020***",="0.018***",="0.025***",="0.018***",="0.021***"
="",="(0.003)",="(0.004)",="(0.005)",="(0.007)",="(0.004)",="(0.005)",="(0.005)",="(0.007)"

="1.treat_ultra#2014.year",="0.020***",="0.016***",="0.024***",="0.015**",="0.023***",="0.021***",="0.023***",="0.016**"
="",="(0.004)",="(0.005)",="(0.005)",="(0.007)",="(0.004)",="(0.006)",="(0.005)",="(0.007)"

="1.treat_ultra#2015.year",="0.021***",="0.017***",="0.026***",="0.016**",="0.025***",="0.021***",="0.027***",="0.017**"
="",="(0.004)",="(0.005)",="(0.006)",="(0.008)",="(0.005)",="(0.006)",="(0.006)",="(0.008)"

="1.treat_ultra#2016.year",="0.020***",="0.012**",="0.027***",="0.015*",="0.025***",="0.019***",="0.026***",="0.015*"
="",="(0.004)",="(0.006)",="(0.006)",="(0.009)",="(0.005)",="(0.007)",="(0.006)",="(0.009)"

="N",="130830",="126431",="112099",="107864",="120793",="116360",="112066",="107847"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
