
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="2009.year#c.totaltreat_pf_n",="0.059",="-0.007",="-0.076",="0.051",="0.113**",="0.062",="0.127**",="0.029",="0.065",="0.005",="0.046",="0.002",="0.057",="0.012",="0.081",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.042)",="(0.046)",="(0.079)",="(0.050)",="(0.046)",="(0.062)",="(0.052)",="(0.052)",="(0.042)",="(0.057)",="(0.046)",="(0.051)",="(0.049)",="(0.064)",="(0.071)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="0.018",="-0.022",="-0.021",="0.016",="0.047",="0.031",="0.071",="-0.014",="0.008",="-0.017",="0.012",="-0.019",="0.025",="-0.031",="0.027",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.030)",="(0.033)",="(0.047)",="(0.043)",="(0.040)",="(0.058)",="(0.056)",="(0.043)",="(0.039)",="(0.046)",="(0.045)",="(0.038)",="(0.038)",="(0.045)",="(0.049)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="0.065**",="0.054",="-0.009",="0.059",="0.045",="0.123**",="0.082**",="0.058",="0.031",="0.075*",="0.054*",="0.074*",="0.083***",="0.068",="0.088**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.027)",="(0.036)",="(0.058)",="(0.047)",="(0.035)",="(0.054)",="(0.040)",="(0.039)",="(0.029)",="(0.043)",="(0.032)",="(0.040)",="(0.032)",="(0.047)",="(0.039)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="0.031",="0.020",="-0.118**",="0.028",="0.010",="0.058",="0.045",="0.044",="0.008",="0.054",="0.038",="0.032",="0.024",="0.031",="0.030",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.029)",="(0.033)",="(0.060)",="(0.042)",="(0.037)",="(0.050)",="(0.045)",="(0.035)",="(0.032)",="(0.038)",="(0.032)",="(0.035)",="(0.032)",="(0.041)",="(0.039)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="0.051",="0.052",="-0.141**",="0.066",="0.019",="0.025",="0.001",="0.056",="0.013",="0.085*",="0.052",="0.068",="0.056",="0.091*",="0.068",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
