
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totaltreat_pf_n",="-0.096",="-0.132",="-0.099",="-0.128",="-0.090",="-0.147",="-0.097",="-0.131",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.230)",="(0.223)",="(0.230)",="(0.223)",="(0.230)",="(0.220)",="(0.230)",="(0.223)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="-0.038",="0.105",="-0.035",="0.103",="-0.037",="0.105",="-0.038",="0.105",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.126)",="(0.162)",="(0.125)",="(0.163)",="(0.126)",="(0.162)",="(0.126)",="(0.162)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="-0.023",="-0.107",="-0.019",="-0.114",="-0.020",="-0.107",="-0.023",="-0.107",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.148)",="(0.190)",="(0.148)",="(0.191)",="(0.148)",="(0.190)",="(0.148)",="(0.190)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="-0.031",="-0.066",="-0.029",="-0.073",="-0.020",="-0.068",="-0.031",="-0.066",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.212)",="(0.256)",="(0.211)",="(0.257)",="(0.212)",="(0.256)",="(0.212)",="(0.256)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="-0.297",="-0.248",="-0.297",="-0.248",="-0.273",="-0.250",="-0.297",="-0.248",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.260)",="(0.332)",="(0.259)",="(0.333)",="(0.258)",="(0.332)",="(0.260)",="(0.332)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n",="-0.393",="-0.414",="-0.391",="-0.417",="-0.370",="-0.417",="-0.394",="-0.414",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.316)",="(0.412)",="(0.316)",="(0.412)",="(0.314)",="(0.412)",="(0.316)",="(0.412)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n",="-0.269",="-0.297",="-0.266",="-0.305",="-0.239",="-0.305",="-0.269",="-0.297",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.351)",="(0.468)",="(0.351)",="(0.468)",="(0.348)",="(0.468)",="(0.351)",="(0.468)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.221",="0.055",="-0.224",="0.065",="-0.216",="0.440",="-0.220",="0.056",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.468)",="(0.486)",="(0.468)",="(0.487)",="(0.467)",="(0.474)",="(0.468)",="(0.486)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="0.075",="0.316",="0.076",="0.310",="0.075",="0.318",="0.074",="0.316",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.320)",="(0.367)",="(0.320)",="(0.367)",="(0.320)",="(0.365)",="(0.320)",="(0.367)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.067",="-0.031",="-0.065",="-0.057",="-0.065",="-0.025",="-0.068",="-0.031",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.306)",="(0.389)",="(0.307)",="(0.394)",="(0.305)",="(0.385)",="(0.306)",="(0.389)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="0.040",="0.198",="0.041",="0.173",="0.050",="0.262",="0.039",="0.198",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.463)",="(0.472)",="(0.465)",="(0.475)",="(0.455)",="(0.468)",="(0.463)",="(0.472)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.479",="-0.223",="-0.479",="-0.224",="-0.458",="-0.176",="-0.480",="-0.224",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.540)",="(0.582)",="(0.539)",="(0.584)",="(0.517)",="(0.580)",="(0.540)",="(0.583)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.821",="-0.827",="-0.819",="-0.839",="-0.800",="-0.768",="-0.822",="-0.828",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.659)",="(0.722)",="(0.660)",="(0.725)",="(0.642)",="(0.722)",="(0.659)",="(0.722)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.763",="-0.735",="-0.761",="-0.762",="-0.735",="-0.547",="-0.763",="-0.735",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.753)",="(0.837)",="(0.754)",="(0.838)",="(0.734)",="(0.822)",="(0.754)",="(0.838)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.163",="-0.199",="-0.166",="-0.196",="-0.157",="-0.208",="-0.163",="-0.199",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.222)",="(0.214)",="(0.222)",="(0.215)",="(0.222)",="(0.210)",="(0.222)",="(0.214)",="",="",="",="",="",="",="",=""

="2010.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.097",="0.034",="-0.095",="0.032",="-0.096",="0.034",="-0.097",="0.034",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.119)",="(0.150)",="(0.119)",="(0.151)",="(0.119)",="(0.150)",="(0.119)",="(0.150)",="",="",="",="",="",="",="",=""

="2011.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",=""

="2012.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.029",="-0.113",="-0.026",="-0.120",="-0.026",="-0.113",="-0.029",="-0.113",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.140)",="(0.174)",="(0.140)",="(0.175)",="(0.140)",="(0.174)",="(0.140)",="(0.174)",="",="",="",="",="",="",="",=""

="2013.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.007",="-0.031",="-0.006",="-0.038",="0.004",="-0.032",="-0.007",="-0.031",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.211)",="(0.245)",="(0.211)",="(0.246)",="(0.212)",="(0.246)",="(0.211)",="(0.245)",="",="",="",="",="",="",="",=""

="2014.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.242",="-0.179",="-0.242",="-0.179",="-0.218",="-0.180",="-0.242",="-0.179",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.253)",="(0.320)",="(0.253)",="(0.321)",="(0.253)",="(0.321)",="(0.253)",="(0.320)",="",="",="",="",="",="",="",=""

="2015.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.375",="-0.348",="-0.373",="-0.351",="-0.351",="-0.350",="-0.375",="-0.348",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.294)",="(0.375)",="(0.293)",="(0.376)",="(0.293)",="(0.376)",="(0.294)",="(0.375)",="",="",="",="",="",="",="",=""

="2016.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.274",="-0.264",="-0.271",="-0.271",="-0.243",="-0.268",="-0.274",="-0.264",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.346)",="(0.450)",="(0.346)",="(0.450)",="(0.344)",="(0.450)",="(0.346)",="(0.450)",="",="",="",="",="",="",="",=""

="1.treat_ultra#2009.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.033**",="-0.030*",="-0.032**",="-0.029*",="-0.033**",="-0.034**",="-0.033**",="-0.031*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.015)",="(0.016)",="(0.015)",="(0.016)",="(0.015)",="(0.015)",="(0.015)",="(0.016)"

="1.treat_ultra#2010.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.003",="-0.002",="-0.003",="-0.001",="-0.003",="-0.002",="-0.003",="-0.002"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.012)",="(0.013)",="(0.012)",="(0.013)",="(0.012)",="(0.013)",="(0.012)",="(0.013)"

