
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="2009.year#c.totaltreat_pf_n",="-0.076",="-0.128*",="-0.072",="-0.125*",="-0.076",="-0.128*",="-0.076",="-0.128*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.079)",="(0.076)",="(0.080)",="(0.076)",="(0.080)",="(0.076)",="(0.079)",="(0.076)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="-0.021",="-0.030",="-0.017",="-0.027",="-0.021",="-0.031",="-0.020",="-0.030",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.047)",="(0.047)",="(0.047)",="(0.048)",="(0.047)",="(0.047)",="(0.047)",="(0.047)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="-0.009",="-0.002",="-0.009",="-0.002",="-0.009",="-0.002",="-0.009",="-0.002",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.058)",="(0.058)",="(0.058)",="(0.058)",="(0.058)",="(0.058)",="(0.058)",="(0.059)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="-0.118**",="-0.095",="-0.117*",="-0.094",="-0.118**",="-0.095",="-0.118**",="-0.095",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.060)",="(0.060)",="(0.060)",="(0.060)",="(0.060)",="(0.060)",="(0.060)",="(0.060)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="-0.141**",="-0.114*",="-0.139**",="-0.113*",="-0.143**",="-0.116*",="-0.141**",="-0.114*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
