
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="2009.year#c.totaltreat_pf_n",="-0.026",="-0.080",="-0.023",="-0.077",="-0.026",="-0.080",="-0.026",="-0.080",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.073)",="(0.071)",="(0.074)",="(0.071)",="(0.074)",="(0.071)",="(0.073)",="(0.071)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="-0.007",="-0.028",="-0.005",="-0.026",="-0.007",="-0.028",="-0.007",="-0.028",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="-0.041",="-0.034",="-0.042",="-0.035",="-0.041",="-0.034",="-0.041",="-0.034",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.046)",="(0.047)",="(0.046)",="(0.047)",="(0.046)",="(0.047)",="(0.046)",="(0.047)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="-0.058",="-0.040",="-0.057",="-0.038",="-0.058",="-0.039",="-0.058",="-0.039",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.054)",="(0.054)",="(0.054)",="(0.054)",="(0.054)",="(0.054)",="(0.054)",="(0.054)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="-0.132**",="-0.102*",="-0.131**",="-0.101*",="-0.134**",="-0.104*",="-0.132**",="-0.102*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.056)",="(0.055)",="(0.056)",="(0.055)",="(0.056)",="(0.055)",="(0.056)",="(0.055)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n",="-0.143**",="-0.104",="-0.143**",="-0.103",="-0.146**",="-0.106",="-0.143**",="-0.104",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.069)",="(0.066)",="(0.069)",="(0.066)",="(0.068)",="(0.066)",="(0.069)",="(0.066)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n",="-0.170**",="-0.120*",="-0.169**",="-0.119*",="-0.172**",="-0.122*",="-0.170**",="-0.120*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.074)",="(0.071)",="(0.074)",="(0.071)",="(0.074)",="(0.071)",="(0.074)",="(0.071)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.093",="-0.156",="-0.090",="-0.153",="-0.093",="-0.156",="-0.093",="-0.156",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.149)",="(0.152)",="(0.151)",="(0.154)",="(0.149)",="(0.153)",="(0.149)",="(0.152)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="0.112",="0.092",="0.114",="0.094",="0.112",="0.092",="0.112",="0.093",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
