
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="2009.year#c.totaltreat_pf_n",="-0.105",="-0.163*",="",="",="",="",="",="",="-0.105",="-0.103",="",="",="",="",="",="",="-0.105",="-0.096",="",="",="",="",="",="",="-0.007",="-0.001",="",="",="",="",="",="",="-0.007",="-0.022",="",="",="",="",="",="",="-0.007",="-0.024",="",="",="",="",="",="",="0.043",="0.050",="",="",="",="",="",="",="0.043",="0.031",="",="",="",="",="",="",="0.043",="0.026",="",="",="",="",="",=""
="",="(0.093)",="(0.091)",="",="",="",="",="",="",="(0.093)",="(0.092)",="",="",="",="",="",="",="(0.093)",="(0.091)",="",="",="",="",="",="",="(0.046)",="(0.046)",="",="",="",="",="",="",="(0.046)",="(0.044)",="",="",="",="",="",="",="(0.046)",="(0.046)",="",="",="",="",="",="",="(0.032)",="(0.032)",="",="",="",="",="",="",="(0.032)",="(0.030)",="",="",="",="",="",="",="(0.032)",="(0.030)",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="-0.142**",="-0.162**",="",="",="",="",="",="",="-0.142**",="-0.146**",="",="",="",="",="",="",="-0.142**",="-0.142**",="",="",="",="",="",="",="-0.022",="-0.020",="",="",="",="",="",="",="-0.022",="-0.024",="",="",="",="",="",="",="-0.022",="-0.025",="",="",="",="",="",="",="0.014",="0.016",="",="",="",="",="",="",="0.014",="0.009",="",="",="",="",="",="",="0.014",="0.008",="",="",="",="",="",=""
="",="(0.069)",="(0.068)",="",="",="",="",="",="",="(0.069)",="(0.070)",="",="",="",="",="",="",="(0.069)",="(0.069)",="",="",="",="",="",="",="(0.033)",="(0.034)",="",="",="",="",="",="",="(0.033)",="(0.033)",="",="",="",="",="",="",="(0.033)",="(0.033)",="",="",="",="",="",="",="(0.024)",="(0.024)",="",="",="",="",="",="",="(0.024)",="(0.024)",="",="",="",="",="",="",="(0.024)",="(0.024)",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="",="",="",="",="",="",="0.000",="0.000",="",="",="",="",="",="",="0.000",="0.000",="",="",="",="",="",="",="0.000",="0.000",="",="",="",="",="",="",="0.000",="0.000",="",="",="",="",="",="",="0.000",="0.000",="",="",="",="",="",="",="0.000",="0.000",="",="",="",="",="",="",="0.000",="0.000",="",="",="",="",="",="",="0.000",="0.000",="",="",="",="",="",=""
="",="(.)",="(.)",="",="",="",="",="",="",="(.)",="(.)",="",="",="",="",="",="",="(.)",="(.)",="",="",="",="",="",="",="(.)",="(.)",="",="",="",="",="",="",="(.)",="(.)",="",="",="",="",="",="",="(.)",="(.)",="",="",="",="",="",="",="(.)",="(.)",="",="",="",="",="",="",="(.)",="(.)",="",="",="",="",="",="",="(.)",="(.)",="",="",="",="",="",=""
