
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="2009.year#c.totaltreat_pf_n",="0.006",="-0.105",="-0.096",="0.069",="0.161",="0.059",="-0.007",="-0.076",="-0.137*",="-0.195*",="0.051",="0.043",="-0.026",="-0.047",="-0.187*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.097)",="(0.093)",="(0.230)",="(0.176)",="(0.360)",="(0.042)",="(0.046)",="(0.079)",="(0.083)",="(0.118)",="(0.032)",="(0.032)",="(0.073)",="(0.061)",="(0.106)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="-0.010",="-0.142**",="-0.038",="-0.017",="-0.147",="0.018",="-0.022",="-0.021",="0.004",="0.067",="0.003",="0.014",="-0.007",="0.046",="0.086",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.055)",="(0.069)",="(0.126)",="(0.133)",="(0.233)",="(0.030)",="(0.033)",="(0.047)",="(0.057)",="(0.078)",="(0.026)",="(0.024)",="(0.037)",="(0.044)",="(0.063)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="0.030",="0.024",="-0.023",="-0.044",="0.035",="0.065**",="0.054",="-0.009",="0.052",="0.020",="0.038*",="0.030",="-0.041",="0.034",="-0.048",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.057)",="(0.060)",="(0.148)",="(0.128)",="(0.246)",="(0.027)",="(0.036)",="(0.058)",="(0.066)",="(0.084)",="(0.019)",="(0.024)",="(0.046)",="(0.048)",="(0.070)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="-0.018",="-0.071",="-0.031",="0.027",="0.118",="0.031",="0.020",="-0.118**",="-0.035",="-0.047",="0.034",="0.041",="-0.058",="0.032",="0.002",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.077)",="(0.094)",="(0.212)",="(0.194)",="(0.354)",="(0.029)",="(0.033)",="(0.060)",="(0.070)",="(0.095)",="(0.024)",="(0.026)",="(0.054)",="(0.057)",="(0.082)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="-0.006",="-0.108",="-0.297",="-0.214",="-0.156",="0.051",="0.052",="-0.141**",="-0.050",="-0.093",="0.047",="0.049",="-0.132**",="-0.042",="-0.098",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.093)",="(0.114)",="(0.260)",="(0.224)",="(0.422)",="(0.032)",="(0.039)",="(0.066)",="(0.082)",="(0.107)",="(0.028)",="(0.033)",="(0.056)",="(0.070)",="(0.091)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n",="-0.041",="-0.117",="-0.393",="-0.292",="-0.319",="0.076**",="0.069",="-0.111",="-0.078",="-0.116",="0.075**",="0.076**",="-0.143**",="-0.037",="-0.151",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.116)",="(0.134)",="(0.316)",="(0.251)",="(0.488)",="(0.037)",="(0.043)",="(0.077)",="(0.090)",="(0.125)",="(0.033)",="(0.038)",="(0.069)",="(0.081)",="(0.109)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n",="-0.003",="-0.057",="-0.269",="-0.246",="-0.422",="0.070*",="0.048",="-0.154*",="-0.067",="-0.141",="0.071*",="0.052",="-0.170**",="-0.071",="-0.135",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.126)",="(0.140)",="(0.351)",="(0.289)",="(0.583)",="(0.039)",="(0.047)",="(0.083)",="(0.094)",="(0.132)",="(0.036)",="(0.043)",="(0.074)",="(0.088)",="(0.127)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.avg_ftreat_pf_n_sq",="",="",="",="-0.301",="-0.797",="",="",="",="0.221*",="0.368",="",="",="",="0.152*",="0.498",="",="",="",="-0.179",="-0.521",="",="",="",="0.102",="0.196",="",="",="",="0.110**",="0.264",="",="",="",="-0.217",="-0.527",="",="",="",="0.179",="0.473",="",="",="",="0.134",="0.564"
="",="",="",="",="(0.240)",="(1.230)",="",="",="",="(0.129)",="(0.369)",="",="",="",="(0.085)",="(0.378)",="",="",="",="(0.134)",="(0.907)",="",="",="",="(0.084)",="(0.277)",="",="",="",="(0.049)",="(0.282)",="",="",="",="(0.254)",="(1.519)",="",="",="",="(0.138)",="(0.462)",="",="",="",="(0.091)",="(0.482)"

="2010.year#c.avg_ftreat_pf_n_sq",="",="",="",="-0.215",="0.340",="",="",="",="-0.043",="-0.273",="",="",="",="-0.055",="-0.288**",="",="",="",="-0.219**",="0.041",="",="",="",="-0.056",="-0.265*",="",="",="",="-0.028",="-0.245**",="",="",="",="-0.085",="0.922",="",="",="",="-0.022",="-0.230",="",="",="",="-0.009",="-0.186"
="",="",="",="",="(0.185)",="(0.566)",="",="",="",="(0.095)",="(0.178)",="",="",="",="(0.062)",="(0.144)",="",="",="",="(0.110)",="(0.369)",="",="",="",="(0.064)",="(0.138)",="",="",="",="(0.036)",="(0.108)",="",="",="",="(0.188)",="(0.742)",="",="",="",="(0.105)",="(0.211)",="",="",="",="(0.067)",="(0.165)"

="2011.year#c.avg_ftreat_pf_n_sq",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000"
="",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)"

="2012.year#c.avg_ftreat_pf_n_sq",="",="",="",="0.118",="-0.179",="",="",="",="0.004",="-0.091",="",="",="",="-0.008",="0.020",="",="",="",="0.092",="-0.109",="",="",="",="0.042",="-0.129",="",="",="",="0.018",="-0.127",="",="",="",="0.204",="-0.181",="",="",="",="0.029",="0.166",="",="",="",="0.019",="0.248*"
="",="",="",="",="(0.161)",="(0.541)",="",="",="",="(0.090)",="(0.165)",="",="",="",="(0.058)",="(0.130)",="",="",="",="(0.078)",="(0.377)",="",="",="",="(0.055)",="(0.140)",="",="",="",="(0.031)",="(0.111)",="",="",="",="(0.172)",="(0.645)",="",="",="",="(0.096)",="(0.182)",="",="",="",="(0.061)",="(0.148)"

="2013.year#c.avg_ftreat_pf_n_sq",="",="",="",="-0.170",="-0.462",="",="",="",="0.093",="-0.222",="",="",="",="0.014",="-0.185",="",="",="",="-0.126",="-0.351",="",="",="",="0.034",="-0.306*",="",="",="",="0.019",="-0.229*",="",="",="",="-0.199",="-0.774",="",="",="",="0.135",="0.125",="",="",="",="0.068",="0.145"
="",="",="",="",="(0.253)",="(0.796)",="",="",="",="(0.086)",="(0.213)",="",="",="",="(0.070)",="(0.174)",="",="",="",="(0.130)",="(0.538)",="",="",="",="(0.042)",="(0.165)",="",="",="",="(0.034)",="(0.133)",="",="",="",="(0.283)",="(0.910)",="",="",="",="(0.091)",="(0.225)",="",="",="",="(0.075)",="(0.188)"

="2014.year#c.avg_ftreat_pf_n_sq",="",="",="",="0.182",="-0.436",="",="",="",="0.173*",="-0.148",="",="",="",="0.153*",="-0.104",="",="",="",="0.020",="-0.654",="",="",="",="0.109**",="-0.278",="",="",="",="0.099**",="-0.238",="",="",="",="0.100",="-0.727",="",="",="",="0.203**",="0.143",="",="",="",="0.200**",="0.134"
="",="",="",="",="(0.278)",="(0.989)",="",="",="",="(0.100)",="(0.258)",="",="",="",="(0.089)",="(0.216)",="",="",="",="(0.151)",="(0.713)",="",="",="",="(0.049)",="(0.201)",="",="",="",="(0.044)",="(0.170)",="",="",="",="(0.301)",="(1.160)",="",="",="",="(0.102)",="(0.261)",="",="",="",="(0.091)",="(0.218)"

="2015.year#c.avg_ftreat_pf_n_sq",="",="",="",="0.301",="-0.230",="",="",="",="0.251**",="0.015",="",="",="",="0.192*",="0.023",="",="",="",="0.091",="-0.559",="",="",="",="0.188***",="0.020",="",="",="",="0.159***",="-0.100",="",="",="",="0.412",="-0.101",="",="",="",="0.301**",="0.308",="",="",="",="0.246**",="0.215"
="",="",="",="",="(0.341)",="(1.102)",="",="",="",="(0.116)",="(0.278)",="",="",="",="(0.104)",="(0.242)",="",="",="",="(0.207)",="(0.815)",="",="",="",="(0.052)",="(0.177)",="",="",="",="(0.049)",="(0.170)",="",="",="",="(0.368)",="(1.190)",="",="",="",="(0.124)",="(0.276)",="",="",="",="(0.107)",="(0.244)"

