
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="2009.year#c.totaltreat_pf_n",="0.006",="-0.105",="-0.096",="-0.119",="-0.099",="0.059",="-0.007",="-0.076",="-0.004",="-0.080",="0.051",="0.043",="-0.026",="0.048",="-0.023",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.097)",="(0.093)",="(0.230)",="(0.094)",="(0.238)",="(0.042)",="(0.046)",="(0.079)",="(0.047)",="(0.084)",="(0.032)",="(0.032)",="(0.073)",="(0.032)",="(0.078)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="-0.010",="-0.142**",="-0.038",="-0.152**",="-0.025",="0.018",="-0.022",="-0.021",="-0.022",="-0.019",="0.003",="0.014",="-0.007",="0.015",="-0.006",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.055)",="(0.069)",="(0.126)",="(0.071)",="(0.129)",="(0.030)",="(0.033)",="(0.047)",="(0.034)",="(0.048)",="(0.026)",="(0.024)",="(0.037)",="(0.024)",="(0.038)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="0.030",="0.024",="-0.023",="0.028",="-0.011",="0.065**",="0.054",="-0.009",="0.054",="-0.013",="0.038*",="0.030",="-0.041",="0.028",="-0.052",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.057)",="(0.060)",="(0.148)",="(0.061)",="(0.151)",="(0.027)",="(0.036)",="(0.058)",="(0.037)",="(0.059)",="(0.019)",="(0.024)",="(0.046)",="(0.024)",="(0.047)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="-0.018",="-0.071",="-0.031",="-0.065",="-0.021",="0.031",="0.020",="-0.118**",="0.019",="-0.126**",="0.034",="0.041",="-0.058",="0.043*",="-0.055",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.077)",="(0.094)",="(0.212)",="(0.096)",="(0.219)",="(0.029)",="(0.033)",="(0.060)",="(0.033)",="(0.063)",="(0.024)",="(0.026)",="(0.054)",="(0.026)",="(0.056)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="-0.006",="-0.108",="-0.297",="-0.066",="-0.203",="0.051",="0.052",="-0.141**",="0.049",="-0.172**",="0.047",="0.049",="-0.132**",="0.047",="-0.154***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.093)",="(0.114)",="(0.260)",="(0.116)",="(0.268)",="(0.032)",="(0.039)",="(0.066)",="(0.040)",="(0.069)",="(0.028)",="(0.033)",="(0.056)",="(0.033)",="(0.059)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n",="-0.041",="-0.117",="-0.393",="-0.072",="-0.306",="0.076**",="0.069",="-0.111",="0.071",="-0.126",="0.075**",="0.076**",="-0.143**",="0.078**",="-0.157**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.116)",="(0.134)",="(0.316)",="(0.137)",="(0.326)",="(0.037)",="(0.043)",="(0.077)",="(0.043)",="(0.079)",="(0.033)",="(0.038)",="(0.069)",="(0.038)",="(0.070)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n",="-0.003",="-0.057",="-0.269",="0.005",="-0.164",="0.070*",="0.048",="-0.154*",="0.051",="-0.157*",="0.071*",="0.052",="-0.170**",="0.057",="-0.167**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.126)",="(0.140)",="(0.351)",="(0.145)",="(0.363)",="(0.039)",="(0.047)",="(0.083)",="(0.047)",="(0.086)",="(0.036)",="(0.043)",="(0.074)",="(0.043)",="(0.077)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.totaltreat_pf_n_totalflows_n",="",="",="",="0.000",="0.000",="",="",="",="-0.000",="0.000",="",="",="",="-0.000",="-0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.000)",="(0.000)",="",="",="",="(0.000)",="(0.000)",="",="",="",="(0.000)",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n_totalflows_n",="",="",="",="0.000",="-0.000",="",="",="",="0.000",="-0.000",="",="",="",="-0.000",="-0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.000)",="(0.000)",="",="",="",="(0.000)",="(0.000)",="",="",="",="(0.000)",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n_totalflows_n",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n_totalflows_n",="",="",="",="-0.000",="-0.000",="",="",="",="-0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.000)",="(0.000)",="",="",="",="(0.000)",="(0.000)",="",="",="",="(0.000)",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n_totalflows_n",="",="",="",="-0.000",="-0.000",="",="",="",="0.000",="0.000",="",="",="",="-0.000",="-0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.000)",="(0.000)",="",="",="",="(0.000)",="(0.000)",="",="",="",="(0.000)",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n_totalflows_n",="",="",="",="-0.001*",="-0.001",="",="",="",="0.000",="0.000*",="",="",="",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.000)",="(0.001)",="",="",="",="(0.000)",="(0.000)",="",="",="",="(0.000)",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n_totalflows_n",="",="",="",="-0.001",="-0.001",="",="",="",="-0.000",="0.000",="",="",="",="-0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.000)",="(0.001)",="",="",="",="(0.000)",="(0.000)",="",="",="",="(0.000)",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n_totalflows_n",="",="",="",="-0.001*",="-0.001",="",="",="",="-0.000",="0.000",="",="",="",="-0.000",="-0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.001)",="(0.001)",="",="",="",="(0.000)",="(0.000)",="",="",="",="(0.000)",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.204",="-0.313",="-0.221",="-0.385",="-0.282",="0.073",="-0.127",="-0.282",="-0.119",="-0.279",="0.046",="0.014",="-0.093",="0.025",="-0.075",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.298)",="(0.276)",="(0.468)",="(0.286)",="(0.478)",="(0.118)",="(0.128)",="(0.187)",="(0.133)",="(0.196)",="(0.095)",="(0.103)",="(0.149)",="(0.107)",="(0.157)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

