
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="2009.year#c.totaltreat_pf_n",="0.006",="-0.105",="-0.096",="-0.073",="0.188",="0.059",="-0.007",="-0.076",="-0.075",="-0.178",="0.051",="0.043",="-0.026",="-0.028",="-0.169",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.097)",="(0.093)",="(0.230)",="(0.194)",="(0.451)",="(0.042)",="(0.046)",="(0.079)",="(0.089)",="(0.152)",="(0.032)",="(0.032)",="(0.073)",="(0.066)",="(0.138)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="-0.010",="-0.142**",="-0.038",="-0.169",="-0.306",="0.018",="-0.022",="-0.021",="0.016",="0.067",="0.003",="0.014",="-0.007",="0.037",="0.072",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.055)",="(0.069)",="(0.126)",="(0.136)",="(0.253)",="(0.030)",="(0.033)",="(0.047)",="(0.063)",="(0.092)",="(0.026)",="(0.024)",="(0.037)",="(0.048)",="(0.075)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="0.030",="0.024",="-0.023",="-0.049",="0.218",="0.065**",="0.054",="-0.009",="0.084",="-0.036",="0.038*",="0.030",="-0.041",="0.034",="-0.125",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.057)",="(0.060)",="(0.148)",="(0.142)",="(0.308)",="(0.027)",="(0.036)",="(0.058)",="(0.067)",="(0.098)",="(0.019)",="(0.024)",="(0.046)",="(0.053)",="(0.079)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="-0.018",="-0.071",="-0.031",="0.025",="0.342",="0.031",="0.020",="-0.118**",="-0.013",="-0.169",="0.034",="0.041",="-0.058",="0.023",="-0.113",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.077)",="(0.094)",="(0.212)",="(0.219)",="(0.418)",="(0.029)",="(0.033)",="(0.060)",="(0.072)",="(0.115)",="(0.024)",="(0.026)",="(0.054)",="(0.061)",="(0.097)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="-0.006",="-0.108",="-0.297",="-0.156",="0.110",="0.051",="0.052",="-0.141**",="-0.029",="-0.203*",="0.047",="0.049",="-0.132**",="-0.063",="-0.196*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.093)",="(0.114)",="(0.260)",="(0.253)",="(0.500)",="(0.032)",="(0.039)",="(0.066)",="(0.085)",="(0.123)",="(0.028)",="(0.033)",="(0.056)",="(0.073)",="(0.105)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n",="-0.041",="-0.117",="-0.393",="-0.322",="-0.223",="0.076**",="0.069",="-0.111",="-0.092",="-0.241*",="0.075**",="0.076**",="-0.143**",="-0.062",="-0.216*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.116)",="(0.134)",="(0.316)",="(0.277)",="(0.540)",="(0.037)",="(0.043)",="(0.077)",="(0.096)",="(0.139)",="(0.033)",="(0.038)",="(0.069)",="(0.084)",="(0.119)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n",="-0.003",="-0.057",="-0.269",="-0.273",="-0.375",="0.070*",="0.048",="-0.154*",="-0.105",="-0.250",="0.071*",="0.052",="-0.170**",="-0.135",="-0.316**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.126)",="(0.140)",="(0.351)",="(0.321)",="(0.632)",="(0.039)",="(0.047)",="(0.083)",="(0.099)",="(0.153)",="(0.036)",="(0.043)",="(0.074)",="(0.090)",="(0.134)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.totaltreat_pf_n_sq",="",="",="",="-0.054",="-0.838",="",="",="",="0.115",="0.301",="",="",="",="0.119",="0.423",="",="",="",="-0.082",="-0.454",="",="",="",="0.064",="0.109",="",="",="",="0.099**",="0.164",="",="",="",="0.019",="-0.303",="",="",="",="0.030",="0.125",="",="",="",="0.073",="0.196"
="",="",="",="",="(0.241)",="(1.472)",="",="",="",="(0.142)",="(0.462)",="",="",="",="(0.090)",="(0.465)",="",="",="",="(0.124)",="(0.905)",="",="",="",="(0.088)",="(0.288)",="",="",="",="(0.049)",="(0.291)",="",="",="",="(0.194)",="(1.135)",="",="",="",="(0.128)",="(0.361)",="",="",="",="(0.072)",="(0.363)"

="2010.year#c.totaltreat_pf_n_sq",="",="",="",="0.044",="0.793",="",="",="",="-0.063",="-0.258",="",="",="",="-0.038",="-0.232",="",="",="",="-0.130",="0.163",="",="",="",="-0.065",="-0.236*",="",="",="",="-0.024",="-0.193**",="",="",="",="0.096",="0.799",="",="",="",="-0.034",="-0.105",="",="",="",="0.014",="-0.035"
="",="",="",="",="(0.165)",="(0.676)",="",="",="",="(0.104)",="(0.202)",="",="",="",="(0.065)",="(0.156)",="",="",="",="(0.102)",="(0.377)",="",="",="",="(0.067)",="(0.131)",="",="",="",="(0.037)",="(0.095)",="",="",="",="(0.138)",="(0.549)",="",="",="",="(0.095)",="(0.164)",="",="",="",="(0.060)",="(0.126)"

="2011.year#c.totaltreat_pf_n_sq",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000"
="",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)"

="2012.year#c.totaltreat_pf_n_sq",="",="",="",="0.122",="-0.713",="",="",="",="-0.050",="0.079",="",="",="",="-0.007",="0.247",="",="",="",="0.095",="-0.307",="",="",="",="0.024",="-0.055",="",="",="",="0.019",="-0.055",="",="",="",="0.138",="-0.469",="",="",="",="-0.004",="0.229",="",="",="",="0.023",="0.273**"
="",="",="",="",="(0.170)",="(0.742)",="",="",="",="(0.104)",="(0.186)",="",="",="",="(0.062)",="(0.156)",="",="",="",="(0.075)",="(0.411)",="",="",="",="(0.063)",="(0.128)",="",="",="",="(0.030)",="(0.102)",="",="",="",="(0.137)",="(0.559)",="",="",="",="(0.093)",="(0.157)",="",="",="",="(0.050)",="(0.133)"

="2013.year#c.totaltreat_pf_n_sq",="",="",="",="-0.159",="-1.102",="",="",="",="0.055",="0.150",="",="",="",="0.030",="0.163",="",="",="",="-0.118",="-0.564",="",="",="",="0.016",="-0.157",="",="",="",="0.021",="-0.082",="",="",="",="-0.137",="-0.871",="",="",="",="0.067",="0.274",="",="",="",="0.071",="0.314*"
="",="",="",="",="(0.274)",="(0.900)",="",="",="",="(0.093)",="(0.226)",="",="",="",="(0.073)",="(0.197)",="",="",="",="(0.129)",="(0.487)",="",="",="",="(0.047)",="(0.130)",="",="",="",="(0.033)",="(0.105)",="",="",="",="(0.214)",="(0.670)",="",="",="",="(0.087)",="(0.193)",="",="",="",="(0.064)",="(0.176)"

="2014.year#c.totaltreat_pf_n_sq",="",="",="",="0.079",="-1.202",="",="",="",="0.134",="0.183",="",="",="",="0.186**",="0.190",="",="",="",="-0.013",="-0.986",="",="",="",="0.093*",="-0.161",="",="",="",="0.107**",="-0.139",="",="",="",="-0.058",="-1.153",="",="",="",="0.118",="0.225",="",="",="",="0.169**",="0.195"
="",="",="",="",="(0.295)",="(1.194)",="",="",="",="(0.108)",="(0.256)",="",="",="",="(0.092)",="(0.211)",="",="",="",="(0.141)",="(0.707)",="",="",="",="(0.055)",="(0.168)",="",="",="",="(0.044)",="(0.140)",="",="",="",="(0.243)",="(0.926)",="",="",="",="(0.095)",="(0.213)",="",="",="",="(0.075)",="(0.183)"

="2015.year#c.totaltreat_pf_n_sq",="",="",="",="0.338",="-0.505",="",="",="",="0.270**",="0.382",="",="",="",="0.231**",="0.213",="",="",="",="0.108",="-0.733",="",="",="",="0.195***",="0.152",="",="",="",="0.172***",="-0.056",="",="",="",="0.238",="-0.539",="",="",="",="0.230**",="0.350",="",="",="",="0.212**",="0.142"
="",="",="",="",="(0.353)",="(1.279)",="",="",="",="(0.125)",="(0.267)",="",="",="",="(0.108)",="(0.240)",="",="",="",="(0.201)",="(0.854)",="",="",="",="(0.054)",="(0.159)",="",="",="",="(0.048)",="(0.157)",="",="",="",="(0.299)",="(1.112)",="",="",="",="(0.108)",="(0.231)",="",="",="",="(0.091)",="(0.222)"

