
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="2009.year#c.totaltreat_pf_n",="0.006",="-0.105",="-0.096",="-0.111",="-0.112",="0.059",="-0.007",="-0.076",="0.001",="-0.061",="0.051",="0.043",="-0.026",="0.045",="-0.022",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.097)",="(0.093)",="(0.230)",="(0.099)",="(0.235)",="(0.042)",="(0.046)",="(0.079)",="(0.050)",="(0.080)",="(0.032)",="(0.032)",="(0.073)",="(0.033)",="(0.074)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="-0.010",="-0.142**",="-0.038",="-0.144*",="-0.049",="0.018",="-0.022",="-0.021",="-0.028",="-0.040",="0.003",="0.014",="-0.007",="0.002",="-0.024",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.055)",="(0.069)",="(0.126)",="(0.074)",="(0.130)",="(0.030)",="(0.033)",="(0.047)",="(0.037)",="(0.048)",="(0.026)",="(0.024)",="(0.037)",="(0.025)",="(0.038)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="0.030",="0.024",="-0.023",="0.032",="-0.009",="0.065**",="0.054",="-0.009",="0.052",="-0.021",="0.038*",="0.030",="-0.041",="0.026",="-0.058",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.057)",="(0.060)",="(0.148)",="(0.064)",="(0.156)",="(0.027)",="(0.036)",="(0.058)",="(0.039)",="(0.060)",="(0.019)",="(0.024)",="(0.046)",="(0.026)",="(0.048)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="-0.018",="-0.071",="-0.031",="-0.062",="-0.020",="0.031",="0.020",="-0.118**",="0.000",="-0.131**",="0.034",="0.041",="-0.058",="0.019",="-0.078",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.077)",="(0.094)",="(0.212)",="(0.101)",="(0.220)",="(0.029)",="(0.033)",="(0.060)",="(0.035)",="(0.062)",="(0.024)",="(0.026)",="(0.054)",="(0.026)",="(0.054)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="-0.006",="-0.108",="-0.297",="-0.066",="-0.285",="0.051",="0.052",="-0.141**",="0.039",="-0.147**",="0.047",="0.049",="-0.132**",="0.036",="-0.134**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.093)",="(0.114)",="(0.260)",="(0.123)",="(0.270)",="(0.032)",="(0.039)",="(0.066)",="(0.043)",="(0.069)",="(0.028)",="(0.033)",="(0.056)",="(0.036)",="(0.060)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n",="-0.041",="-0.117",="-0.393",="-0.067",="-0.359",="0.076**",="0.069",="-0.111",="0.065",="-0.089",="0.075**",="0.076**",="-0.143**",="0.064",="-0.137*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.116)",="(0.134)",="(0.316)",="(0.145)",="(0.328)",="(0.037)",="(0.043)",="(0.077)",="(0.046)",="(0.080)",="(0.033)",="(0.038)",="(0.069)",="(0.040)",="(0.072)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n",="-0.003",="-0.057",="-0.269",="-0.039",="-0.217",="0.070*",="0.048",="-0.154*",="0.032",="-0.139",="0.071*",="0.052",="-0.170**",="0.035",="-0.155*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.126)",="(0.140)",="(0.351)",="(0.154)",="(0.370)",="(0.039)",="(0.047)",="(0.083)",="(0.051)",="(0.087)",="(0.036)",="(0.043)",="(0.074)",="(0.047)",="(0.080)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.totaltreat_pw_n_sq",="",="",="",="0.121",="0.410",="",="",="",="-0.155",="-0.396",="",="",="",="-0.048",="-0.099",="",="",="",="2.069",="2.374",="",="",="",="0.324",="0.579",="",="",="",="-0.019",="0.275",="",="",="",="0.151",="0.602",="",="",="",="-0.203",="-0.415",="",="",="",="-0.056",="-0.142"
="",="",="",="",="(0.449)",="(0.805)",="",="",="",="(0.295)",="(0.467)",="",="",="",="(0.210)",="(0.323)",="",="",="",="(1.405)",="(2.207)",="",="",="",="(0.597)",="(0.843)",="",="",="",="(0.524)",="(0.730)",="",="",="",="(0.442)",="(0.825)",="",="",="",="(0.293)",="(0.473)",="",="",="",="(0.212)",="(0.323)"

="2010.year#c.totaltreat_pw_n_sq",="",="",="",="0.034",="0.303",="",="",="",="0.128",="0.503",="",="",="",="0.250",="0.452*",="",="",="",="0.826",="0.060",="",="",="",="-0.146",="0.550",="",="",="",="-0.052",="0.413",="",="",="",="0.067",="0.462",="",="",="",="0.133",="0.556",="",="",="",="0.283",="0.528**"
="",="",="",="",="(0.370)",="(0.597)",="",="",="",="(0.271)",="(0.400)",="",="",="",="(0.182)",="(0.245)",="",="",="",="(1.032)",="(1.570)",="",="",="",="(0.502)",="(0.721)",="",="",="",="(0.366)",="(0.496)",="",="",="",="(0.367)",="(0.644)",="",="",="",="(0.265)",="(0.395)",="",="",="",="(0.177)",="(0.238)"

="2011.year#c.totaltreat_pw_n_sq",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000",="",="",="",="0.000",="0.000"
="",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)",="",="",="",="(.)",="(.)"

="2012.year#c.totaltreat_pw_n_sq",="",="",="",="-0.155",="-0.352",="",="",="",="0.032",="0.299",="",="",="",="0.069",="0.430*",="",="",="",="0.793",="-0.667",="",="",="",="-0.765*",="0.139",="",="",="",="-0.302",="0.579",="",="",="",="-0.095",="-0.335",="",="",="",="0.069",="0.402",="",="",="",="0.097",="0.508**"
="",="",="",="",="(0.466)",="(0.618)",="",="",="",="(0.192)",="(0.361)",="",="",="",="(0.158)",="(0.231)",="",="",="",="(1.062)",="(1.715)",="",="",="",="(0.464)",="(0.708)",="",="",="",="(0.393)",="(0.492)",="",="",="",="(0.459)",="(0.628)",="",="",="",="(0.190)",="(0.369)",="",="",="",="(0.154)",="(0.237)"

="2013.year#c.totaltreat_pw_n_sq",="",="",="",="-0.204",="-0.285",="",="",="",="0.428",="0.320",="",="",="",="0.480*",="0.527",="",="",="",="0.696",="-1.379",="",="",="",="0.524",="1.484*",="",="",="",="0.375",="1.379*",="",="",="",="-0.233",="-0.339",="",="",="",="0.442",="0.466",="",="",="",="0.516*",="0.668*"
="",="",="",="",="(0.657)",="(0.961)",="",="",="",="(0.286)",="(0.374)",="",="",="",="(0.283)",="(0.376)",="",="",="",="(1.455)",="(2.489)",="",="",="",="(0.556)",="(0.795)",="",="",="",="(0.495)",="(0.771)",="",="",="",="(0.646)",="(0.988)",="",="",="",="(0.287)",="(0.381)",="",="",="",="(0.284)",="(0.404)"

="2014.year#c.totaltreat_pw_n_sq",="",="",="",="-0.893",="-0.308",="",="",="",="0.279",="0.140",="",="",="",="0.277",="0.061",="",="",="",="0.305",="0.965",="",="",="",="0.298",="1.322",="",="",="",="0.297",="1.074",="",="",="",="-0.991*",="-0.374",="",="",="",="0.295",="0.253",="",="",="",="0.304*",="0.149"
="",="",="",="",="(0.577)",="(0.852)",="",="",="",="(0.239)",="(0.490)",="",="",="",="(0.182)",="(0.339)",="",="",="",="(1.617)",="(2.696)",="",="",="",="(0.538)",="(0.859)",="",="",="",="(0.446)",="(0.661)",="",="",="",="(0.570)",="(0.883)",="",="",="",="(0.236)",="(0.492)",="",="",="",="(0.180)",="(0.345)"

="2015.year#c.totaltreat_pw_n_sq",="",="",="",="-1.061",="-0.892",="",="",="",="0.083",="-0.577",="",="",="",="0.270",="-0.175",="",="",="",="1.047",="1.317",="",="",="",="0.535",="1.063",="",="",="",="0.678",="1.504*",="",="",="",="-1.047",="-0.850",="",="",="",="0.117",="-0.490",="",="",="",="0.308",="-0.122"
="",="",="",="",="(0.770)",="(1.167)",="",="",="",="(0.362)",="(0.480)",="",="",="",="(0.326)",="(0.342)",="",="",="",="(1.842)",="(3.188)",="",="",="",="(0.694)",="(0.989)",="",="",="",="(0.606)",="(0.779)",="",="",="",="(0.753)",="(1.172)",="",="",="",="(0.363)",="(0.482)",="",="",="",="(0.329)",="(0.348)"

