
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totaltreat_pf_n",="-0.096",="-0.115",="-0.115",="-0.112",="-0.115",="",="",="",="",="",="",="",="",="",=""
="",="(0.230)",="(0.271)",="(0.271)",="(0.272)",="(0.271)",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="-0.038",="0.064",="0.064",="0.064",="0.062",="",="",="",="",="",="",="",="",="",=""
="",="(0.126)",="(0.086)",="(0.086)",="(0.086)",="(0.086)",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="-0.023",="-0.055",="-0.055",="-0.053",="-0.055",="",="",="",="",="",="",="",="",="",=""
="",="(0.148)",="(0.139)",="(0.139)",="(0.139)",="(0.139)",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="-0.031",="-0.055",="-0.056",="-0.047",="-0.055",="",="",="",="",="",="",="",="",="",=""
="",="(0.212)",="(0.169)",="(0.169)",="(0.169)",="(0.169)",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="-0.297",="-0.196",="-0.197",="-0.177",="-0.195",="",="",="",="",="",="",="",="",="",=""
="",="(0.260)",="(0.207)",="(0.207)",="(0.206)",="(0.207)",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n",="-0.393",="-0.154",="-0.155",="-0.132",="-0.154",="",="",="",="",="",="",="",="",="",=""
="",="(0.316)",="(0.239)",="(0.239)",="(0.238)",="(0.239)",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n",="-0.269",="-0.031",="-0.031",="-0.009",="-0.029",="",="",="",="",="",="",="",="",="",=""
="",="(0.351)",="(0.271)",="(0.271)",="(0.270)",="(0.271)",="",="",="",="",="",="",="",="",="",=""

