
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="2009.year#c.totaltreat_pf_n",="-0.076",="0.006",="0.006",="0.005",="0.005",="",="",="",="",="",="",="",="",="",=""
="",="(0.079)",="(0.086)",="(0.086)",="(0.086)",="(0.086)",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="-0.021",="0.012",="0.012",="0.012",="0.012",="",="",="",="",="",="",="",="",="",=""
="",="(0.047)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="-0.009",="0.017",="0.017",="0.017",="0.017",="",="",="",="",="",="",="",="",="",=""
="",="(0.058)",="(0.044)",="(0.044)",="(0.044)",="(0.044)",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="-0.118**",="0.008",="0.008",="0.008",="0.009",="",="",="",="",="",="",="",="",="",=""
="",="(0.060)",="(0.053)",="(0.053)",="(0.053)",="(0.053)",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="-0.141**",="-0.003",="-0.003",="-0.006",="-0.003",="",="",="",="",="",="",="",="",="",=""
="",="(0.066)",="(0.058)",="(0.058)",="(0.058)",="(0.058)",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n",="-0.111",="0.046",="0.047",="0.044",="0.047",="",="",="",="",="",="",="",="",="",=""
="",="(0.077)",="(0.069)",="(0.069)",="(0.070)",="(0.069)",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n",="-0.154*",="0.021",="0.022",="0.019",="0.022",="",="",="",="",="",="",="",="",="",=""
