
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="2009.year#c.totaltreat_pf_n",="-0.026",="0.033",="0.034",="0.034",="0.033",="",="",="",="",="",="",="",="",="",=""
="",="(0.073)",="(0.081)",="(0.081)",="(0.081)",="(0.081)",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="-0.007",="-0.012",="-0.011",="-0.012",="-0.011",="",="",="",="",="",="",="",="",="",=""
="",="(0.037)",="(0.028)",="(0.028)",="(0.028)",="(0.028)",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="-0.041",="-0.033",="-0.033",="-0.032",="-0.032",="",="",="",="",="",="",="",="",="",=""
="",="(0.046)",="(0.035)",="(0.035)",="(0.035)",="(0.035)",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="-0.058",="-0.005",="-0.005",="-0.005",="-0.005",="",="",="",="",="",="",="",="",="",=""
="",="(0.054)",="(0.046)",="(0.046)",="(0.046)",="(0.046)",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="-0.132**",="-0.027",="-0.026",="-0.028",="-0.026",="",="",="",="",="",="",="",="",="",=""
="",="(0.056)",="(0.049)",="(0.049)",="(0.049)",="(0.049)",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n",="-0.143**",="0.001",="0.001",="-0.001",="0.002",="",="",="",="",="",="",="",="",="",=""
="",="(0.069)",="(0.061)",="(0.061)",="(0.061)",="(0.061)",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n",="-0.170**",="0.033",="0.033",="0.031",="0.035",="",="",="",="",="",="",="",="",="",=""
="",="(0.074)",="(0.066)",="(0.066)",="(0.066)",="(0.066)",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.totaltreat_pw_n",="",="",="",="",="",="-0.093",="-0.015",="-0.013",="-0.015",="-0.015",="",="",="",="",=""
="",="",="",="",="",="",="(0.149)",="(0.165)",="(0.166)",="(0.165)",="(0.165)",="",="",="",="",=""

="2010.year#c.totaltreat_pw_n",="",="",="",="",="",="0.112",="0.038",="0.039",="0.038",="0.037",="",="",="",="",=""
="",="",="",="",="",="",="(0.110)",="(0.093)",="(0.092)",="(0.093)",="(0.093)",="",="",="",="",=""

="2011.year#c.totaltreat_pw_n",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",=""
="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",=""

="2012.year#c.totaltreat_pw_n",="",="",="",="",="",="0.055",="0.064",="0.064",="0.064",="0.063",="",="",="",="",=""
="",="",="",="",="",="",="(0.109)",="(0.084)",="(0.084)",="(0.084)",="(0.084)",="",="",="",="",=""

="2013.year#c.totaltreat_pw_n",="",="",="",="",="",="-0.021",="0.025",="0.026",="0.025",="0.024",="",="",="",="",=""
="",="",="",="",="",="",="(0.144)",="(0.121)",="(0.121)",="(0.121)",="(0.121)",="",="",="",="",=""

="2014.year#c.totaltreat_pw_n",="",="",="",="",="",="-0.219",="-0.097",="-0.097",="-0.097",="-0.098",="",="",="",="",=""
="",="",="",="",="",="",="(0.149)",="(0.107)",="(0.108)",="(0.108)",="(0.108)",="",="",="",="",=""

="2015.year#c.totaltreat_pw_n",="",="",="",="",="",="-0.369**",="-0.155",="-0.155",="-0.155",="-0.157",="",="",="",="",=""
="",="",="",="",="",="",="(0.155)",="(0.117)",="(0.117)",="(0.118)",="(0.117)",="",="",="",="",=""

="2016.year#c.totaltreat_pw_n",="",="",="",="",="",="-0.451**",="-0.117",="-0.117",="-0.117",="-0.119",="",="",="",="",=""
="",="",="",="",="",="",="(0.191)",="(0.147)",="(0.147)",="(0.148)",="(0.147)",="",="",="",="",=""

="2009.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="-0.007",="0.045",="0.045",="0.045",="0.045"
="",="",="",="",="",="",="",="",="",="",="",="(0.069)",="(0.078)",="(0.078)",="(0.078)",="(0.078)"

="2010.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="-0.035",="-0.044",="-0.044",="-0.045",="-0.044"
="",="",="",="",="",="",="",="",="",="",="",="(0.037)",="(0.030)",="(0.030)",="(0.030)",="(0.030)"

="2011.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)"

="2012.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="-0.067",="-0.052",="-0.052",="-0.051",="-0.051"
="",="",="",="",="",="",="",="",="",="",="",="(0.043)",="(0.033)",="(0.033)",="(0.033)",="(0.034)"

="2013.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="-0.107**",="-0.048",="-0.047",="-0.047",="-0.047"
="",="",="",="",="",="",="",="",="",="",="",="(0.054)",="(0.045)",="(0.045)",="(0.045)",="(0.045)"

="2014.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="-0.155***",="-0.043",="-0.043",="-0.045",="-0.042"
="",="",="",="",="",="",="",="",="",="",="",="(0.057)",="(0.047)",="(0.047)",="(0.047)",="(0.047)"

="2015.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="-0.152**",="0.003",="0.003",="-0.001",="0.004"
="",="",="",="",="",="",="",="",="",="",="",="(0.066)",="(0.060)",="(0.060)",="(0.060)",="(0.060)"

="2016.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="-0.211***",="0.003",="0.003",="-0.000",="0.005"
="",="",="",="",="",="",="",="",="",="",="",="(0.073)",="(0.066)",="(0.066)",="(0.066)",="(0.066)"

="N",="17666",="17666",="17666",="17666",="17666",="17666",="17666",="17666",="17666",="17666",="17666",="17666",="17666",="17666",="17666"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
