
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totaltreat_pf_n",="-0.068",="-0.093",="-0.068",="-0.066",="-0.067",="",="",="",="",="",="",="",="",="",=""
="",="(0.233)",="(0.230)",="(0.234)",="(0.234)",="(0.234)",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="0.076",="-0.039",="0.076",="0.076",="0.076",="",="",="",="",="",="",="",="",="",=""
="",="(0.083)",="(0.126)",="(0.083)",="(0.083)",="(0.083)",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="-0.038",="-0.019",="-0.039",="-0.037",="-0.038",="",="",="",="",="",="",="",="",="",=""
="",="(0.122)",="(0.148)",="(0.122)",="(0.122)",="(0.122)",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="0.016",="-0.030",="0.015",="0.023",="0.017",="",="",="",="",="",="",="",="",="",=""
="",="(0.150)",="(0.211)",="(0.150)",="(0.149)",="(0.150)",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="0.007",="-0.304",="0.007",="0.022",="0.007",="",="",="",="",="",="",="",="",="",=""
="",="(0.185)",="(0.259)",="(0.185)",="(0.184)",="(0.185)",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n",="-0.108",="-0.381",="-0.107",="-0.090",="-0.106",="",="",="",="",="",="",="",="",="",=""
="",="(0.214)",="(0.315)",="(0.214)",="(0.214)",="(0.214)",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n",="-0.100",="-0.262",="-0.100",="-0.081",="-0.097",="",="",="",="",="",="",="",="",="",=""
="",="(0.240)",="(0.350)",="(0.240)",="(0.239)",="(0.240)",="",="",="",="",="",="",="",="",="",=""

