
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="2009.year#c.totaltreat_pf_n",="0.036",="-0.074",="0.035",="0.036",="0.035",="",="",="",="",="",="",="",="",="",=""
="",="(0.073)",="(0.079)",="(0.073)",="(0.073)",="(0.073)",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="0.054",="-0.020",="0.054",="0.054",="0.054",="",="",="",="",="",="",="",="",="",=""
="",="(0.035)",="(0.047)",="(0.034)",="(0.035)",="(0.035)",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="0.045",="-0.010",="0.045",="0.045",="0.045",="",="",="",="",="",="",="",="",="",=""
="",="(0.039)",="(0.058)",="(0.039)",="(0.039)",="(0.039)",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="0.046",="-0.118**",="0.046",="0.046",="0.047",="",="",="",="",="",="",="",="",="",=""
="",="(0.051)",="(0.060)",="(0.051)",="(0.051)",="(0.051)",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="0.056",="-0.140**",="0.056",="0.055",="0.054",="",="",="",="",="",="",="",="",="",=""
="",="(0.056)",="(0.066)",="(0.056)",="(0.056)",="(0.056)",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n",="0.048",="-0.111",="0.047",="0.046",="0.049",="",="",="",="",="",="",="",="",="",=""
="",="(0.062)",="(0.076)",="(0.062)",="(0.063)",="(0.062)",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n",="0.039",="-0.153*",="0.039",="0.037",="0.040",="",="",="",="",="",="",="",="",="",=""
