
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="2009.year#c.totaltreat_pf_n",="0.027",="-0.026",="0.026",="0.027",="0.026",="",="",="",="",="",="",="",="",="",=""
="",="(0.070)",="(0.073)",="(0.070)",="(0.070)",="(0.070)",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf_n",="0.007",="-0.009",="0.007",="0.007",="0.007",="",="",="",="",="",="",="",="",="",=""
="",="(0.029)",="(0.037)",="(0.029)",="(0.029)",="(0.029)",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf_n",="0.018",="-0.043",="0.018",="0.018",="0.018",="",="",="",="",="",="",="",="",="",=""
="",="(0.033)",="(0.046)",="(0.033)",="(0.033)",="(0.033)",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="0.012",="-0.060",="0.013",="0.012",="0.013",="",="",="",="",="",="",="",="",="",=""
="",="(0.045)",="(0.054)",="(0.045)",="(0.045)",="(0.045)",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="0.012",="-0.135**",="0.013",="0.011",="0.011",="",="",="",="",="",="",="",="",="",=""
="",="(0.049)",="(0.056)",="(0.049)",="(0.049)",="(0.049)",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n",="-0.002",="-0.147**",="-0.002",="-0.003",="-0.000",="",="",="",="",="",="",="",="",="",=""
="",="(0.056)",="(0.068)",="(0.056)",="(0.056)",="(0.056)",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n",="0.027",="-0.172**",="0.027",="0.025",="0.028",="",="",="",="",="",="",="",="",="",=""
="",="(0.059)",="(0.074)",="(0.059)",="(0.059)",="(0.059)",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.totaltreat_pw_n",="",="",="",="",="",="-0.044",="-0.094",="-0.046",="-0.043",="-0.043",="",="",="",="",=""
="",="",="",="",="",="",="(0.159)",="(0.148)",="(0.160)",="(0.159)",="(0.159)",="",="",="",="",=""

="2010.year#c.totaltreat_pw_n",="",="",="",="",="",="0.060",="0.108",="0.058",="0.060",="0.060",="",="",="",="",=""
="",="",="",="",="",="",="(0.093)",="(0.110)",="(0.093)",="(0.093)",="(0.093)",="",="",="",="",=""

="2011.year#c.totaltreat_pw_n",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",=""
="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",=""

="2012.year#c.totaltreat_pw_n",="",="",="",="",="",="0.187**",="0.053",="0.187**",="0.188**",="0.187**",="",="",="",="",=""
="",="",="",="",="",="",="(0.092)",="(0.109)",="(0.092)",="(0.092)",="(0.092)",="",="",="",="",=""

="2013.year#c.totaltreat_pw_n",="",="",="",="",="",="0.044",="-0.024",="0.045",="0.044",="0.043",="",="",="",="",=""
="",="",="",="",="",="",="(0.123)",="(0.145)",="(0.123)",="(0.123)",="(0.123)",="",="",="",="",=""

="2014.year#c.totaltreat_pw_n",="",="",="",="",="",="0.031",="-0.224",="0.031",="0.029",="0.022",="",="",="",="",=""
="",="",="",="",="",="",="(0.115)",="(0.150)",="(0.115)",="(0.116)",="(0.116)",="",="",="",="",=""

="2015.year#c.totaltreat_pw_n",="",="",="",="",="",="-0.096",="-0.375**",="-0.097",="-0.098",="-0.098",="",="",="",="",=""
="",="",="",="",="",="",="(0.125)",="(0.156)",="(0.125)",="(0.125)",="(0.125)",="",="",="",="",=""

="2016.year#c.totaltreat_pw_n",="",="",="",="",="",="-0.058",="-0.454**",="-0.058",="-0.060",="-0.059",="",="",="",="",=""
="",="",="",="",="",="",="(0.137)",="(0.191)",="(0.137)",="(0.138)",="(0.137)",="",="",="",="",=""

="2009.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="0.037",="-0.008",="0.035",="0.037",="0.036"
="",="",="",="",="",="",="",="",="",="",="",="(0.069)",="(0.069)",="(0.069)",="(0.069)",="(0.069)"

="2010.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="-0.021",="-0.037",="-0.022",="-0.021",="-0.021"
="",="",="",="",="",="",="",="",="",="",="",="(0.028)",="(0.037)",="(0.029)",="(0.029)",="(0.028)"

="2011.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)"

="2012.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="-0.012",="-0.069",="-0.012",="-0.012",="-0.012"
="",="",="",="",="",="",="",="",="",="",="",="(0.032)",="(0.043)",="(0.032)",="(0.032)",="(0.032)"

="2013.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="-0.032",="-0.109**",="-0.031",="-0.032",="-0.031"
="",="",="",="",="",="",="",="",="",="",="",="(0.045)",="(0.054)",="(0.045)",="(0.045)",="(0.045)"

="2014.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="-0.016",="-0.157***",="-0.015",="-0.018",="-0.016"
="",="",="",="",="",="",="",="",="",="",="",="(0.049)",="(0.057)",="(0.049)",="(0.049)",="(0.049)"

="2015.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="-0.019",="-0.155**",="-0.020",="-0.021",="-0.017"
="",="",="",="",="",="",="",="",="",="",="",="(0.055)",="(0.066)",="(0.055)",="(0.056)",="(0.055)"

="2016.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="-0.011",="-0.213***",="-0.011",="-0.014",="-0.009"
="",="",="",="",="",="",="",="",="",="",="",="(0.060)",="(0.073)",="(0.060)",="(0.060)",="(0.060)"

="N",="20228",="17690",="20228",="20228",="20228",="20228",="17690",="20228",="20228",="20228",="20228",="17690",="20228",="20228",="20228"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
