
="",="(1)",="(2)",="(3)"
="",="l_firm_emp",="lr_remdezr",="lr_remmedr"

="totaltreat_pf",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="0.treat_year",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.treat_year",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="0.treat_year#c.totaltreat_pf",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.treat_year#c.totaltreat_pf",="0.040",="-0.023**",="-0.023**"
="",="(0.035)",="(0.011)",="(0.010)"

="_cons",="2.944***",="7.745***",="7.689***"
="",="(0.001)",="(0.000)",="(0.000)"

="N",="398248",="396572",="397123"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
