
="",="(1)",="(2)",="(3)"
="",="l_firm_emp",="lr_remdezr",="lr_remmedr"

="totaltreat_pw",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="0.treat_year",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.treat_year",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="0.treat_year#c.totaltreat_pw",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.treat_year#c.totaltreat_pw",="0.141",="-0.327***",="-0.302***"
="",="(0.419)",="(0.117)",="(0.117)"

="_cons",="2.777***",="7.718***",="7.664***"
="",="(0.001)",="(0.000)",="(0.000)"

="N",="475344",="473177",="473978"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
