
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totaltreat_pf",="-0.017",="-0.001",="-0.003",="-0.002",="-0.032**",="-0.008",="0.001",="-0.001",="-0.003",="-0.001",="-0.020*",="-0.020",="-0.003",="-0.001",="-0.050***",="-0.024",="0.000",="0.001",="-0.004**",="0.001",="-0.015",="-0.018",="0.017***",="0.000",="-0.026",="-0.015",="0.010*",="0.005",="0.008",="0.002"
="",="(0.013)",="(0.027)",="(0.002)",="(0.005)",="(0.013)",="(0.027)",="(0.002)",="(0.005)",="(0.002)",="(0.005)",="(0.012)",="(0.025)",="(0.002)",="(0.004)",="(0.011)",="(0.025)",="(0.002)",="(0.004)",="(0.002)",="(0.004)",="(0.032)",="(0.068)",="(0.006)",="(0.010)",="(0.031)",="(0.067)",="(0.006)",="(0.010)",="(0.006)",="(0.010)"

="2010.year#c.totaltreat_pf",="-0.013",="0.028",="-0.002",="0.002",="-0.026**",="0.028",="-0.002",="0.001",="-0.003*",="0.002",="-0.008",="0.019",="-0.002",="0.002",="-0.031***",="0.020",="-0.002",="0.003",="-0.003*",="0.003",="-0.025",="-0.064",="0.003",="-0.009",="-0.003",="-0.058",="0.002",="-0.008",="0.002",="-0.008"
="",="(0.011)",="(0.025)",="(0.002)",="(0.004)",="(0.011)",="(0.025)",="(0.002)",="(0.004)",="(0.002)",="(0.004)",="(0.009)",="(0.024)",="(0.002)",="(0.003)",="(0.009)",="(0.024)",="(0.002)",="(0.003)",="(0.002)",="(0.003)",="(0.026)",="(0.053)",="(0.005)",="(0.008)",="(0.025)",="(0.052)",="(0.005)",="(0.008)",="(0.005)",="(0.008)"

="2011.year#c.totaltreat_pf",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

