
="",="(1)",="(2)",="(3)"
="",="lr_remdezr",="lr_remmedr",="l_firm_emp"

="2009.year#c.totaltreat_pf",="-0.001",="-0.020",="-0.018"
="",="(0.027)",="(0.025)",="(0.068)"

="2010.year#c.totaltreat_pf",="0.028",="0.019",="-0.064"
="",="(0.025)",="(0.024)",="(0.053)"

="2011.year#c.totaltreat_pf",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="2012.year#c.totaltreat_pf",="0.007",="-0.015",="0.002"
="",="(0.021)",="(0.016)",="(0.041)"

="2013.year#c.totaltreat_pf",="-0.011",="-0.017",="0.005"
="",="(0.022)",="(0.020)",="(0.060)"

="2014.year#c.totaltreat_pf",="0.012",="0.002",="0.026"
="",="(0.028)",="(0.026)",="(0.066)"

="2015.year#c.totaltreat_pf",="0.028",="0.002",="0.018"
="",="(0.031)",="(0.028)",="(0.075)"

="2016.year#c.totaltreat_pf",="0.053",="0.005",="0.083"
="",="(0.032)",="(0.032)",="(0.087)"

="2009.year#c.totallagos_pf",="-0.015",="-0.000",="0.003"
="",="(0.023)",="(0.022)",="(0.060)"

="2010.year#c.totallagos_pf",="-0.041*",="-0.028",="0.039"
="",="(0.022)",="(0.022)",="(0.046)"

="2011.year#c.totallagos_pf",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="2012.year#c.totallagos_pf",="-0.018",="0.001",="0.021"
="",="(0.017)",="(0.013)",="(0.031)"

="2013.year#c.totallagos_pf",="-0.027",="-0.015",="0.033"
="",="(0.019)",="(0.017)",="(0.051)"

="2014.year#c.totallagos_pf",="-0.052**",="-0.040*",="0.010"
="",="(0.024)",="(0.023)",="(0.056)"

="2015.year#c.totallagos_pf",="-0.077***",="-0.053**",="-0.000"
="",="(0.027)",="(0.025)",="(0.062)"

="2016.year#c.totallagos_pf",="-0.081***",="-0.034",="-0.064"
="",="(0.028)",="(0.028)",="(0.073)"

="N",="396531",="397082",="398208"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
