
="",="(1)",="(2)",="(3)"
="",="lr_remdezr",="lr_remmedr",="l_firm_emp"

="2009.year#c.totaltreat_pw",="0.073",="0.149",="-0.895"
="",="(0.500)",="(0.493)",="(1.307)"

="2010.year#c.totaltreat_pw",="0.611",="0.464",="-1.905"
="",="(0.448)",="(0.457)",="(1.190)"

="2011.year#c.totaltreat_pw",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="2012.year#c.totaltreat_pw",="0.250",="0.073",="0.176"
="",="(0.303)",="(0.262)",="(0.615)"

="2013.year#c.totaltreat_pw",="0.144",="0.104",="0.372"
="",="(0.252)",="(0.231)",="(0.591)"

="2014.year#c.totaltreat_pw",="0.755*",="0.729*",="-0.252"
="",="(0.450)",="(0.435)",="(0.661)"

="2015.year#c.totaltreat_pw",="0.885*",="0.801",="-0.604"
="",="(0.529)",="(0.514)",="(0.805)"

="2016.year#c.totaltreat_pw",="0.873*",="0.649",="-0.210"
="",="(0.529)",="(0.552)",="(0.889)"

="2009.year#c.totallagos_pw",="-0.048",="-0.083",="0.936"
="",="(0.460)",="(0.461)",="(1.156)"

="2010.year#c.totallagos_pw",="-0.620",="-0.369",="1.479"
="",="(0.415)",="(0.428)",="(1.027)"

="2011.year#c.totallagos_pw",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="2012.year#c.totallagos_pw",="-0.392",="-0.175",="0.267"
="",="(0.263)",="(0.226)",="(0.478)"

="2013.year#c.totallagos_pw",="-0.443**",="-0.335*",="0.063"
="",="(0.199)",="(0.183)",="(0.454)"

="2014.year#c.totallagos_pw",="-1.122***",="-1.035***",="0.338"
="",="(0.412)",="(0.400)",="(0.513)"

="2015.year#c.totallagos_pw",="-1.136**",="-0.987**",="0.164"
="",="(0.488)",="(0.478)",="(0.649)"

="2016.year#c.totallagos_pw",="-1.312***",="-0.969*",="-0.141"
="",="(0.492)",="(0.515)",="(0.711)"

="N",="473145",="473946",="475312"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
