
="",="(1)",="(2)"
="",="numb_clauses",="numb_clauses"

="1.cba_period_lg#c.totaltreat_pf",="-1.188",="-1.275"
="",="(1.094)",="(3.122)"

="2.cba_period_lg#c.totaltreat_pf",="0.000",="0.000"
="",="(.)",="(.)"

="3.cba_period_lg#c.totaltreat_pf",="0.483",="-2.659"
="",="(1.526)",="(2.983)"

="4.cba_period_lg#c.totaltreat_pf",="2.282",="-4.073"
="",="(1.722)",="(2.969)"

="5.cba_period_lg#c.totaltreat_pf",="0.397",="-8.930**"
="",="(1.813)",="(4.156)"

="6.cba_period_lg#c.totaltreat_pf",="1.609",="-5.529"
="",="(2.589)",="(3.772)"

="N",="69160",="69160"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
