
="",="(1)",="(2)"
="",="numb_clauses",="numb_clauses"

="1.cba_period_lg#c.totaltreat_pw",="15.425**",="-44.822"
="",="(7.453)",="(31.379)"

="2.cba_period_lg#c.totaltreat_pw",="0.000",="0.000"
="",="(.)",="(.)"

="3.cba_period_lg#c.totaltreat_pw",="43.793**",="7.466"
="",="(22.089)",="(44.531)"

="4.cba_period_lg#c.totaltreat_pw",="30.051",="25.924"
="",="(22.204)",="(33.309)"

="5.cba_period_lg#c.totaltreat_pw",="33.845",="-6.181"
="",="(27.472)",="(40.643)"

="6.cba_period_lg#c.totaltreat_pw",="20.813",="-74.016"
="",="(16.756)",="(51.253)"

="N",="81090",="81090"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
