
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="lr_remdezr",="l_firm_emp",="l_firm_emp",="lr_remdezr",="lr_remmedr",="lr_remdezr",="l_firm_emp",="lr_remmedr",="lr_remmedr",="l_firm_emp",="lr_remmedr",="lr_remdezr",="lr_remmedr",="l_firm_emp",="lr_remdezr",="lr_remmedr",="l_firm_emp",="totaltreat_pw",="totaltreat_pw"

="2009.year#c.totaltreat_pw",="0.024",="-0.428",="",="",="",="0.024",="",="",="0.064",="0.072",="0.064",="",="",="",="",="",="",="0.000",="0.000"
="",="(0.153)",="(0.537)",="",="",="",="(0.153)",="",="",="(0.125)",="(0.537)",="(0.125)",="",="",="",="",="",="",="(.)",="(.)"

="2010.year#c.totaltreat_pw",="-0.029",="-0.459",="",="",="",="-0.029",="",="",="0.083",="-0.378",="0.083",="",="",="",="",="",="",="0.000",="0.000"
="",="(0.127)",="(0.526)",="",="",="",="(0.127)",="",="",="(0.114)",="(0.531)",="(0.114)",="",="",="",="",="",="",="(.)",="(.)"

="2011.year#c.totaltreat_pw",="0.000",="0.000",="",="",="",="0.000",="",="",="0.000",="0.000",="0.000",="",="",="",="",="",="",="0.000",="0.000"
="",="(.)",="(.)",="",="",="",="(.)",="",="",="(.)",="(.)",="(.)",="",="",="",="",="",="",="(.)",="(.)"

="2012.year#c.totaltreat_pw",="-0.154",="0.491",="",="",="",="-0.154",="",="",="-0.107",="0.449",="-0.107",="",="",="",="",="",="",="0.000",="0.000"
="",="(0.133)",="(0.358)",="",="",="",="(0.133)",="",="",="(0.117)",="(0.361)",="(0.117)",="",="",="",="",="",="",="(.)",="(.)"

="2013.year#c.totaltreat_pw",="-0.313**",="0.473",="",="",="",="-0.313**",="",="",="-0.241*",="0.436",="-0.241*",="",="",="",="",="",="",="0.000",="0.000"
="",="(0.146)",="(0.363)",="",="",="",="(0.146)",="",="",="(0.133)",="(0.368)",="(0.133)",="",="",="",="",="",="",="(.)",="(.)"

="2014.year#c.totaltreat_pw",="-0.402***",="0.077",="",="",="",="-0.402***",="",="",="-0.338**",="0.097",="-0.338**",="",="",="",="",="",="",="0.000",="0.000"
="",="(0.148)",="(0.397)",="",="",="",="(0.148)",="",="",="(0.137)",="(0.400)",="(0.137)",="",="",="",="",="",="",="(.)",="(.)"

="2015.year#c.totaltreat_pw",="-0.286*",="-0.787*",="",="",="",="-0.286*",="",="",="-0.217",="-0.437",="-0.217",="",="",="",="",="",="",="0.000",="0.000"
="",="(0.159)",="(0.448)",="",="",="",="(0.159)",="",="",="(0.141)",="(0.447)",="(0.141)",="",="",="",="",="",="",="(.)",="(.)"

="2016.year#c.totaltreat_pw",="-0.479***",="-1.122**",="",="",="",="-0.479***",="",="",="-0.349**",="-0.360",="-0.349**",="",="",="",="",="",="",="0.000",="0.000"
="",="(0.149)",="(0.538)",="",="",="",="(0.149)",="",="",="(0.145)",="(0.505)",="(0.145)",="",="",="",="",="",="",="(.)",="(.)"

="N",="473145",="475344",="130376",="129879",="130051",="473145",="398208",="397082",="473946",="475312",="473946",="130984",="131190",="131752",="130984",="131190",="131752",="475312",="342920"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
