
="",="(1)",="(2)",="(3)",="(4)"
="",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr"

="2009.year#c.totaltreat_pf",="-0.016",="0.000",="-0.019*",="0.000"
="",="(0.013)",="(.)",="(0.012)",="(.)"

="2010.year#c.totaltreat_pf",="-0.013",="0.000",="-0.008",="0.000"
="",="(0.011)",="(.)",="(0.009)",="(.)"

="2011.year#c.totaltreat_pf",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"

="2012.year#c.totaltreat_pf",="-0.011",="0.000",="-0.014",="0.000"
="",="(0.012)",="(.)",="(0.009)",="(.)"

="2013.year#c.totaltreat_pf",="-0.038***",="0.000",="-0.032***",="0.000"
="",="(0.013)",="(.)",="(0.010)",="(.)"

="2014.year#c.totaltreat_pf",="-0.039***",="0.000",="-0.038***",="0.000"
="",="(0.014)",="(.)",="(0.012)",="(.)"

="2015.year#c.totaltreat_pf",="-0.049***",="0.000",="-0.051***",="0.000"
="",="(0.015)",="(.)",="(0.013)",="(.)"

="2016.year#c.totaltreat_pf",="-0.028*",="0.000",="-0.028**",="0.000"
="",="(0.016)",="(.)",="(0.014)",="(.)"

="N",="396531",="264903",="397082",="265246"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
