
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totaltreat_pf",="-0.016",="0.000",="-0.025",="0.002",="0.000",="-0.003",="-0.019*",="0.000",="-0.031**",="0.008",="0.000",="0.010",="-0.016",="0.000",="-0.010",="0.042",="0.000",="0.084"
="",="(0.013)",="(.)",="(0.016)",="(0.020)",="(.)",="(0.024)",="(0.012)",="(.)",="(0.014)",="(0.018)",="(.)",="(0.021)",="(0.032)",="(.)",="(0.043)",="(0.040)",="(.)",="(0.054)"

="2010.year#c.totaltreat_pf",="-0.013",="0.000",="-0.018",="-0.014",="0.000",="-0.011",="-0.008",="0.000",="-0.011",="0.005",="0.000",="0.003",="-0.027",="0.000",="-0.067**",="0.057",="0.000",="0.020"
="",="(0.011)",="(.)",="(0.014)",="(0.016)",="(.)",="(0.018)",="(0.009)",="(.)",="(0.011)",="(0.012)",="(.)",="(0.015)",="(0.026)",="(.)",="(0.034)",="(0.038)",="(.)",="(0.051)"

="2011.year#c.totaltreat_pf",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2012.year#c.totaltreat_pf",="-0.011",="0.000",="0.004",="-0.018",="0.000",="-0.007",="-0.014",="0.000",="-0.010",="-0.009",="0.000",="-0.010",="0.023",="0.000",="0.126***",="0.052*",="0.000",="0.140***"
="",="(0.012)",="(.)",="(0.014)",="(0.016)",="(.)",="(0.020)",="(0.009)",="(.)",="(0.011)",="(0.013)",="(.)",="(0.016)",="(0.027)",="(.)",="(0.034)",="(0.029)",="(.)",="(0.037)"

="2013.year#c.totaltreat_pf",="-0.038***",="0.000",="-0.020",="-0.020",="0.000",="-0.018",="-0.032***",="0.000",="-0.024*",="-0.008",="0.000",="-0.019",="0.037",="0.000",="0.253***",="0.062",="0.000",="0.229***"
="",="(0.013)",="(.)",="(0.015)",="(0.018)",="(.)",="(0.021)",="(0.010)",="(.)",="(0.013)",="(0.014)",="(.)",="(0.017)",="(0.031)",="(.)",="(0.040)",="(0.041)",="(.)",="(0.050)"

="2014.year#c.totaltreat_pf",="-0.039***",="0.000",="-0.017",="-0.032",="0.000",="-0.022",="-0.038***",="0.000",="-0.030*",="-0.024",="0.000",="-0.024",="0.036",="0.000",="0.356***",="0.076*",="0.000",="0.319***"
="",="(0.014)",="(.)",="(0.018)",="(0.019)",="(.)",="(0.023)",="(0.012)",="(.)",="(0.016)",="(0.015)",="(.)",="(0.019)",="(0.036)",="(.)",="(0.047)",="(0.045)",="(.)",="(0.057)"

="2015.year#c.totaltreat_pf",="-0.049***",="0.000",="-0.019",="-0.051**",="0.000",="-0.066**",="-0.051***",="0.000",="-0.039**",="-0.042**",="0.000",="-0.067***",="0.016",="0.000",="0.442***",="0.045",="0.000",="0.377***"
="",="(0.015)",="(.)",="(0.019)",="(0.023)",="(.)",="(0.029)",="(0.013)",="(.)",="(0.016)",="(0.019)",="(.)",="(0.024)",="(0.041)",="(.)",="(0.054)",="(0.053)",="(.)",="(0.067)"

="2016.year#c.totaltreat_pf",="-0.028*",="0.000",="0.012",="-0.099***",="0.000",="-0.068**",="-0.028**",="0.000",="-0.007",="-0.068***",="0.000",="-0.063**",="0.020",="0.000",="0.532***",="0.033",="0.000",="0.432***"
="",="(0.016)",="(.)",="(0.021)",="(0.025)",="(.)",="(0.030)",="(0.014)",="(.)",="(0.018)",="(0.021)",="(.)",="(0.026)",="(0.048)",="(.)",="(0.063)",="(0.063)",="(.)",="(0.082)"

="N",="396531",="264903",="130984",="134740",="75024",="58847",="397082",="265246",="131190",="134917",="75107",="58945",="398208",="265808",="131752",="135312",="75280",="59176"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
