
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totaltreat_pf",="-0.017",="0.000",="-0.026",="-0.008",="0.000",="-0.016",="-0.020*",="0.000",="-0.032**",="-0.010",="0.000",="-0.016",="-0.015",="0.000",="-0.007",="0.002",="0.000",="0.033"
="",="(0.013)",="(.)",="(0.016)",="(0.011)",="(.)",="(0.013)",="(0.012)",="(.)",="(0.014)",="(0.010)",="(.)",="(0.012)",="(0.032)",="(.)",="(0.043)",="(0.025)",="(.)",="(0.032)"

="2010.year#c.totaltreat_pf",="-0.013",="0.000",="-0.019",="-0.012",="0.000",="-0.015",="-0.008",="0.000",="-0.011",="-0.003",="0.000",="-0.004",="-0.025",="0.000",="-0.065*",="-0.005",="0.000",="-0.046*"
="",="(0.011)",="(.)",="(0.014)",="(0.009)",="(.)",="(0.011)",="(0.009)",="(.)",="(0.011)",="(0.007)",="(.)",="(0.009)",="(0.026)",="(.)",="(0.034)",="(0.021)",="(.)",="(0.027)"

="2011.year#c.totaltreat_pf",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2012.year#c.totaltreat_pf",="-0.011",="0.000",="0.005",="-0.013",="0.000",="-0.003",="-0.014",="0.000",="-0.010",="-0.013*",="0.000",="-0.012",="0.023",="0.000",="0.126***",="0.033*",="0.000",="0.127***"
="",="(0.011)",="(.)",="(0.014)",="(0.009)",="(.)",="(0.011)",="(0.009)",="(.)",="(0.011)",="(0.007)",="(.)",="(0.009)",="(0.027)",="(.)",="(0.034)",="(0.020)",="(.)",="(0.026)"

="2013.year#c.totaltreat_pf",="-0.038***",="0.000",="-0.019",="-0.033***",="0.000",="-0.022*",="-0.032***",="0.000",="-0.024*",="-0.026***",="0.000",="-0.024**",="0.038",="0.000",="0.253***",="0.047*",="0.000",="0.236***"
="",="(0.013)",="(.)",="(0.015)",="(0.010)",="(.)",="(0.012)",="(0.010)",="(.)",="(0.013)",="(0.008)",="(.)",="(0.010)",="(0.031)",="(.)",="(0.040)",="(0.025)",="(.)",="(0.031)"

="2014.year#c.totaltreat_pf",="-0.039***",="0.000",="-0.017",="-0.036***",="0.000",="-0.020",="-0.038***",="0.000",="-0.030*",="-0.035***",="0.000",="-0.029**",="0.036",="0.000",="0.354***",="0.049*",="0.000",="0.331***"
="",="(0.014)",="(.)",="(0.017)",="(0.011)",="(.)",="(0.014)",="(0.012)",="(.)",="(0.016)",="(0.010)",="(.)",="(0.012)",="(0.036)",="(.)",="(0.047)",="(0.028)",="(.)",="(0.036)"

="2015.year#c.totaltreat_pf",="-0.048***",="0.000",="-0.019",="-0.052***",="0.000",="-0.039**",="-0.050***",="0.000",="-0.039**",="-0.050***",="0.000",="-0.050***",="0.018",="0.000",="0.442***",="0.024",="0.000",="0.407***"
="",="(0.015)",="(.)",="(0.019)",="(0.013)",="(.)",="(0.016)",="(0.013)",="(.)",="(0.016)",="(0.011)",="(.)",="(0.014)",="(0.041)",="(.)",="(0.054)",="(0.032)",="(.)",="(0.042)"

="2016.year#c.totaltreat_pf",="-0.028*",="0.000",="0.012",="-0.052***",="0.000",="-0.021",="-0.028**",="0.000",="-0.008",="-0.043***",="0.000",="-0.032**",="0.020",="0.000",="0.530***",="0.025",="0.000",="0.494***"
="",="(0.016)",="(.)",="(0.021)",="(0.014)",="(.)",="(0.017)",="(0.014)",="(.)",="(0.018)",="(0.012)",="(.)",="(0.015)",="(0.048)",="(.)",="(0.063)",="(0.038)",="(.)",="(0.049)"

="N",="396531",="264879",="131008",="531712",="340494",="190632",="397082",="265222",="131214",="532440",="340920",="190935",="398208",="265784",="131776",="533960",="341656",="191720"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
