
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totaltreat_pf",="0.053",="0.000",="0.111*",="-0.006",="0.000",="-0.005",="0.053",="0.000",="0.129***",="-0.009",="0.000",="-0.009",="-0.025",="0.000",="-0.032",="0.055***",="0.000",="0.056**"
="",="(0.043)",="(.)",="(0.058)",="(0.009)",="(.)",="(0.010)",="(0.033)",="(.)",="(0.044)",="(0.008)",="(.)",="(0.009)",="(0.102)",="(.)",="(0.147)",="(0.020)",="(.)",="(0.025)"

="2010.year#c.totaltreat_pf",="0.023",="0.000",="0.038",="-0.006",="0.000",="-0.004",="0.009",="0.000",="0.025",="-0.014**",="0.000",="-0.010",="-0.005",="0.000",="-0.031",="0.042***",="0.000",="0.036*"
="",="(0.032)",="(.)",="(0.038)",="(0.008)",="(.)",="(0.009)",="(0.028)",="(.)",="(0.036)",="(0.006)",="(.)",="(0.007)",="(0.055)",="(.)",="(0.072)",="(0.016)",="(.)",="(0.019)"

="2011.year#c.totaltreat_pf",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2012.year#c.totaltreat_pf",="0.060**",="0.000",="0.028",="-0.006",="0.000",="-0.007",="0.036*",="0.000",="0.029",="-0.008",="0.000",="-0.005",="0.025",="0.000",="0.090",="-0.004",="0.000",="0.002"
="",="(0.028)",="(.)",="(0.034)",="(0.008)",="(.)",="(0.009)",="(0.020)",="(.)",="(0.023)",="(0.006)",="(.)",="(0.007)",="(0.059)",="(.)",="(0.068)",="(0.017)",="(.)",="(0.020)"

="2013.year#c.totaltreat_pf",="0.029",="0.000",="0.017",="-0.005",="0.000",="-0.010",="0.037",="0.000",="0.034",="-0.009",="0.000",="-0.015",="-0.024",="0.000",="0.078",="0.019",="0.000",="0.055**"
="",="(0.030)",="(.)",="(0.038)",="(0.010)",="(.)",="(0.011)",="(0.025)",="(.)",="(0.031)",="(0.008)",="(.)",="(0.009)",="(0.080)",="(.)",="(0.099)",="(0.022)",="(.)",="(0.026)"

="2014.year#c.totaltreat_pf",="0.045",="0.000",="0.049",="-0.001",="0.000",="-0.003",="0.044",="0.000",="0.055",="-0.013",="0.000",="-0.015",="0.010",="0.000",="0.090",="0.058**",="0.000",="0.106***"
="",="(0.033)",="(.)",="(0.041)",="(0.010)",="(.)",="(0.012)",="(0.029)",="(.)",="(0.036)",="(0.009)",="(.)",="(0.011)",="(0.097)",="(.)",="(0.115)",="(0.025)",="(.)",="(0.030)"

="2015.year#c.totaltreat_pf",="0.075**",="0.000",="0.067",="-0.048***",="0.000",="-0.058***",="0.073**",="0.000",="0.070*",="-0.042***",="0.000",="-0.052***",="-0.070",="0.000",="0.136",="0.088***",="0.000",="0.164***"
="",="(0.038)",="(.)",="(0.047)",="(0.012)",="(.)",="(0.014)",="(0.034)",="(.)",="(0.041)",="(0.010)",="(.)",="(0.012)",="(0.120)",="(.)",="(0.150)",="(0.030)",="(.)",="(0.036)"

="2016.year#c.totaltreat_pf",="0.068*",="0.000",="0.052",="-0.017",="0.000",="-0.020",="0.072*",="0.000",="0.061",="-0.032***",="0.000",="-0.035***",="-0.058",="0.000",="0.210",="0.183***",="0.000",="0.302***"
="",="(0.040)",="(.)",="(0.048)",="(0.012)",="(.)",="(0.014)",="(0.037)",="(.)",="(0.044)",="(0.011)",="(.)",="(0.013)",="(0.130)",="(.)",="(0.161)",="(0.036)",="(.)",="(0.042)"

="N",="28729",="11506",="16098",="88394",="11112",="76030",="28773",="11523",="16125",="88490",="11136",="76104",="28872",="11560",="16192",="88656",="11176",="76232"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
