
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totaltreat_pf",="-0.008",="0.000",="-0.013",="-0.048***",="0.000",="-0.036***",="-0.011",="0.000",="-0.018",="-0.057***",="0.000",="-0.043***",="-0.019",="0.000",="-0.015",="0.072***",="0.000",="0.065***"
="",="(0.013)",="(.)",="(0.015)",="(0.004)",="(.)",="(0.005)",="(0.011)",="(.)",="(0.013)",="(0.003)",="(.)",="(0.004)",="(0.030)",="(.)",="(0.040)",="(0.007)",="(.)",="(0.011)"

="2010.year#c.totaltreat_pf",="-0.010",="0.000",="-0.012",="-0.032***",="0.000",="-0.019***",="-0.007",="0.000",="-0.008",="-0.054***",="0.000",="-0.042***",="-0.023",="0.000",="-0.066**",="0.110***",="0.000",="0.077***"
="",="(0.010)",="(.)",="(0.013)",="(0.003)",="(.)",="(0.004)",="(0.008)",="(.)",="(0.010)",="(0.003)",="(.)",="(0.003)",="(0.024)",="(.)",="(0.031)",="(0.006)",="(.)",="(0.009)"

="2011.year#c.totaltreat_pf",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2012.year#c.totaltreat_pf",="-0.003",="0.000",="0.009",="0.008***",="0.000",="0.017***",="-0.008",="0.000",="-0.006",="-0.022***",="0.000",="-0.017***",="0.015",="0.000",="0.112***",="0.005",="0.000",="0.029***"
="",="(0.011)",="(.)",="(0.013)",="(0.003)",="(.)",="(0.005)",="(0.009)",="(.)",="(0.010)",="(0.003)",="(.)",="(0.003)",="(0.025)",="(.)",="(0.031)",="(0.007)",="(.)",="(0.009)"

="2013.year#c.totaltreat_pf",="-0.030**",="0.000",="-0.011",="0.018***",="0.000",="0.023***",="-0.024**",="0.000",="-0.014",="-0.015***",="0.000",="-0.014***",="0.021",="0.000",="0.220***",="0.041***",="0.000",="0.097***"
="",="(0.012)",="(.)",="(0.014)",="(0.004)",="(.)",="(0.005)",="(0.010)",="(.)",="(0.012)",="(0.003)",="(.)",="(0.004)",="(0.029)",="(.)",="(0.036)",="(0.008)",="(.)",="(0.011)"

="2014.year#c.totaltreat_pf",="-0.032**",="0.000",="-0.008",="0.025***",="0.000",="0.031***",="-0.031***",="0.000",="-0.019",="0.007**",="0.000",="0.007",="0.024",="0.000",="0.312***",="0.060***",="0.000",="0.149***"
="",="(0.013)",="(.)",="(0.016)",="(0.004)",="(.)",="(0.005)",="(0.011)",="(.)",="(0.014)",="(0.003)",="(.)",="(0.005)",="(0.034)",="(.)",="(0.043)",="(0.009)",="(.)",="(0.013)"

="2015.year#c.totaltreat_pf",="-0.039***",="0.000",="-0.011",="-0.073***",="0.000",="-0.073***",="-0.042***",="0.000",="-0.029*",="-0.063***",="0.000",="-0.070***",="0.002",="0.000",="0.396***",="0.069***",="0.000",="0.194***"
="",="(0.014)",="(.)",="(0.017)",="(0.005)",="(.)",="(0.007)",="(0.012)",="(.)",="(0.015)",="(0.004)",="(.)",="(0.006)",="(0.038)",="(.)",="(0.049)",="(0.010)",="(.)",="(0.015)"

="2016.year#c.totaltreat_pf",="-0.022",="0.000",="0.015",="0.030***",="0.000",="0.036***",="-0.023*",="0.000",="-0.002",="0.016***",="0.000",="0.009",="0.003",="0.000",="0.482***",="0.148***",="0.000",="0.310***"
="",="(0.015)",="(.)",="(0.019)",="(0.005)",="(.)",="(0.006)",="(0.013)",="(.)",="(0.016)",="(0.004)",="(.)",="(0.006)",="(0.044)",="(.)",="(0.057)",="(0.012)",="(.)",="(0.018)"

="N",="426069",="277365",="148133",="650353",="365375",="284554",="426664",="277724",="148368",="651224",="365840",="284960",="427888",="278320",="148992",="653008",="366648",="285936"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
