
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totaltreat_pw",="0.024",="0.000",="-0.045",="-0.003",="0.000",="-0.079",="0.064",="0.000",="0.028",="0.104",="0.000",="0.090",="0.072",="0.000",="-1.525**",="0.299",="0.000",="-0.708"
="",="(0.153)",="(.)",="(0.157)",="(0.201)",="(.)",="(0.220)",="(0.125)",="(.)",="(0.137)",="(0.203)",="(.)",="(0.223)",="(0.537)",="(.)",="(0.645)",="(0.503)",="(.)",="(0.572)"

="2010.year#c.totaltreat_pw",="-0.029",="0.000",="-0.064",="0.040",="0.000",="0.093",="0.083",="0.000",="0.021",="0.195",="0.000",="0.179",="-0.378",="0.000",="-1.064*",="-0.438",="0.000",="-1.036"
="",="(0.127)",="(.)",="(0.135)",="(0.192)",="(.)",="(0.210)",="(0.114)",="(.)",="(0.126)",="(0.187)",="(.)",="(0.200)",="(0.531)",="(.)",="(0.617)",="(0.690)",="(.)",="(0.769)"

="2011.year#c.totaltreat_pw",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2012.year#c.totaltreat_pw",="-0.154",="0.000",="-0.079",="0.035",="0.000",="0.144",="-0.107",="0.000",="-0.085",="0.144",="0.000",="0.173",="0.449",="0.000",="1.509***",="1.002*",="0.000",="1.605***"
="",="(0.133)",="(.)",="(0.148)",="(0.168)",="(.)",="(0.182)",="(0.117)",="(.)",="(0.134)",="(0.143)",="(.)",="(0.153)",="(0.361)",="(.)",="(0.442)",="(0.529)",="(.)",="(0.499)"

="2013.year#c.totaltreat_pw",="-0.313**",="0.000",="-0.153",="-0.191",="0.000",="-0.141",="-0.241*",="0.000",="-0.197",="0.068",="0.000",="0.021",="0.436",="0.000",="2.389***",="1.054",="0.000",="2.238***"
="",="(0.146)",="(.)",="(0.155)",="(0.220)",="(.)",="(0.230)",="(0.133)",="(.)",="(0.144)",="(0.156)",="(.)",="(0.164)",="(0.368)",="(.)",="(0.450)",="(0.698)",="(.)",="(0.663)"

="2014.year#c.totaltreat_pw",="-0.402***",="0.000",="-0.226",="-0.460*",="0.000",="-0.369",="-0.338**",="0.000",="-0.278*",="-0.130",="0.000",="-0.102",="0.097",="0.000",="2.795***",="1.184",="0.000",="2.787***"
="",="(0.148)",="(.)",="(0.156)",="(0.245)",="(.)",="(0.267)",="(0.137)",="(.)",="(0.148)",="(0.192)",="(.)",="(0.212)",="(0.400)",="(.)",="(0.466)",="(0.776)",="(.)",="(0.672)"

="2015.year#c.totaltreat_pw",="-0.286*",="0.000",="-0.027",="-0.187",="0.000",="-0.194",="-0.217",="0.000",="-0.071",="0.052",="0.000",="-0.018",="-0.437",="0.000",="2.924***",="0.604",="0.000",="2.553***"
="",="(0.159)",="(.)",="(0.168)",="(0.243)",="(.)",="(0.271)",="(0.141)",="(.)",="(0.154)",="(0.206)",="(.)",="(0.233)",="(0.447)",="(.)",="(0.565)",="(0.897)",="(.)",="(0.729)"

="2016.year#c.totaltreat_pw",="-0.479***",="0.000",="-0.188",="-0.806**",="0.000",="-0.558",="-0.349**",="0.000",="-0.201",="-0.396",="0.000",="-0.345",="-0.360",="0.000",="3.444***",="0.436",="0.000",="2.566***"
="",="(0.149)",="(.)",="(0.165)",="(0.343)",="(.)",="(0.362)",="(0.145)",="(.)",="(0.161)",="(0.299)",="(.)",="(0.329)",="(0.505)",="(.)",="(0.524)",="(0.923)",="(.)",="(0.751)"

="N",="473145",="341525",="130984",="155244",="95543",="58847",="473946",="342118",="131190",="155486",="95692",="58945",="475312",="342920",="131752",="156024",="96008",="59176"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
