
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totaltreat_pw",="0.023",="0.000",="-0.045",="0.044",="0.000",="-0.037",="0.063",="0.000",="0.029",="0.096",="0.000",="0.085",="0.071",="0.000",="-1.530**",="0.126",="0.000",="-1.133**"
="",="(0.153)",="(.)",="(0.157)",="(0.123)",="(.)",="(0.129)",="(0.125)",="(.)",="(0.137)",="(0.109)",="(.)",="(0.121)",="(0.537)",="(.)",="(0.645)",="(0.389)",="(.)",="(0.454)"

="2010.year#c.totaltreat_pw",="-0.030",="0.000",="-0.065",="0.010",="0.000",="-0.007",="0.083",="0.000",="0.020",="0.124",="0.000",="0.086",="-0.378",="0.000",="-1.066*",="-0.445",="0.000",="-1.063**"
="",="(0.127)",="(.)",="(0.135)",="(0.107)",="(.)",="(0.117)",="(0.114)",="(.)",="(0.126)",="(0.099)",="(.)",="(0.110)",="(0.531)",="(.)",="(0.618)",="(0.417)",="(.)",="(0.474)"

="2011.year#c.totaltreat_pw",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2012.year#c.totaltreat_pw",="-0.155",="0.000",="-0.080",="-0.083",="0.000",="-0.017",="-0.108",="0.000",="-0.086",="-0.019",="0.000",="0.001",="0.452",="0.000",="1.513***",="0.635**",="0.000",="1.560***"
="",="(0.134)",="(.)",="(0.148)",="(0.106)",="(.)",="(0.117)",="(0.117)",="(.)",="(0.134)",="(0.095)",="(.)",="(0.107)",="(0.361)",="(.)",="(0.442)",="(0.307)",="(.)",="(0.347)"

="2013.year#c.totaltreat_pw",="-0.314**",="0.000",="-0.154",="-0.280**",="0.000",="-0.177",="-0.242*",="0.000",="-0.198",="-0.149",="0.000",="-0.124",="0.436",="0.000",="2.388***",="0.667*",="0.000",="2.335***"
="",="(0.146)",="(.)",="(0.155)",="(0.123)",="(.)",="(0.135)",="(0.133)",="(.)",="(0.144)",="(0.104)",="(.)",="(0.114)",="(0.369)",="(.)",="(0.450)",="(0.354)",="(.)",="(0.382)"

="2014.year#c.totaltreat_pw",="-0.403***",="0.000",="-0.227",="-0.425***",="0.000",="-0.303**",="-0.340**",="0.000",="-0.280*",="-0.281**",="0.000",="-0.221*",="0.097",="0.000",="2.795***",="0.485",="0.000",="2.780***"
="",="(0.148)",="(.)",="(0.156)",="(0.129)",="(.)",="(0.142)",="(0.137)",="(.)",="(0.148)",="(0.113)",="(.)",="(0.125)",="(0.400)",="(.)",="(0.466)",="(0.400)",="(.)",="(0.407)"

="2015.year#c.totaltreat_pw",="-0.287*",="0.000",="-0.029",="-0.238*",="0.000",="-0.092",="-0.218",="0.000",="-0.072",="-0.122",="0.000",="-0.031",="-0.435",="0.000",="2.927***",="-0.048",="0.000",="2.846***"
="",="(0.159)",="(.)",="(0.168)",="(0.137)",="(.)",="(0.149)",="(0.141)",="(.)",="(0.154)",="(0.120)",="(.)",="(0.136)",="(0.447)",="(.)",="(0.566)",="(0.456)",="(.)",="(0.489)"

="2016.year#c.totaltreat_pw",="-0.482***",="0.000",="-0.190",="-0.603***",="0.000",="-0.358**",="-0.351**",="0.000",="-0.203",="-0.381***",="0.000",="-0.273*",="-0.356",="0.000",="3.450***",="-0.053",="0.000",="3.214***"
="",="(0.149)",="(.)",="(0.165)",="(0.159)",="(.)",="(0.176)",="(0.145)",="(.)",="(0.161)",="(0.146)",="(.)",="(0.164)",="(0.505)",="(.)",="(0.525)",="(0.478)",="(.)",="(0.474)"

="N",="473145",="341501",="131008",="628802",="437608",="190632",="473946",="342094",="131214",="629844",="438348",="190935",="475312",="342896",="131776",="631744",="439464",="191720"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
