
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totaltreat_pw",="0.378",="0.000",="0.613",="0.035",="0.000",="0.039",="0.571",="0.000",="1.145**",="0.078*",="0.000",="0.081*",="-0.925",="0.000",="-2.207",="0.146",="0.000",="0.035"
="",="(0.723)",="(.)",="(0.922)",="(0.050)",="(.)",="(0.054)",="(0.487)",="(.)",="(0.565)",="(0.044)",="(.)",="(0.048)",="(1.739)",="(.)",="(2.098)",="(0.118)",="(.)",="(0.126)"

="2010.year#c.totaltreat_pw",="0.369",="0.000",="0.478",="0.006",="0.000",="0.016",="0.364",="0.000",="0.576",="0.058",="0.000",="0.064",="0.418",="0.000",="-0.193",="0.019",="0.000",="-0.079"
="",="(0.374)",="(.)",="(0.434)",="(0.049)",="(.)",="(0.053)",="(0.372)",="(.)",="(0.413)",="(0.041)",="(.)",="(0.044)",="(0.911)",="(.)",="(1.118)",="(0.109)",="(.)",="(0.117)"

="2011.year#c.totaltreat_pw",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2012.year#c.totaltreat_pw",="0.060",="0.000",="-0.156",="0.082**",="0.000",="0.063",="0.053",="0.000",="0.120",="0.067*",="0.000",="0.051",="-0.140",="0.000",="0.862",="-0.129",="0.000",="-0.096"
="",="(0.416)",="(.)",="(0.438)",="(0.041)",="(.)",="(0.044)",="(0.186)",="(.)",="(0.187)",="(0.035)",="(.)",="(0.037)",="(0.716)",="(.)",="(0.801)",="(0.093)",="(.)",="(0.100)"

="2013.year#c.totaltreat_pw",="0.218",="0.000",="0.267",="0.084",="0.000",="0.067",="0.407",="0.000",="0.649*",="0.079*",="0.000",="0.051",="-0.317",="0.000",="1.181",="-0.011",="0.000",="0.060"
="",="(0.465)",="(.)",="(0.526)",="(0.052)",="(.)",="(0.056)",="(0.344)",="(.)",="(0.352)",="(0.046)",="(.)",="(0.048)",="(1.037)",="(.)",="(1.259)",="(0.127)",="(.)",="(0.138)"

="2014.year#c.totaltreat_pw",="0.284",="0.000",="0.409",="0.157***",="0.000",="0.139***",="0.535*",="0.000",="0.821**",="0.130***",="0.000",="0.114**",="-1.106",="0.000",="-0.035",="0.166",="0.000",="0.264*"
="",="(0.456)",="(.)",="(0.549)",="(0.049)",="(.)",="(0.053)",="(0.309)",="(.)",="(0.358)",="(0.042)",="(.)",="(0.045)",="(1.251)",="(.)",="(1.465)",="(0.130)",="(.)",="(0.141)"

="2015.year#c.totaltreat_pw",="0.357",="0.000",="0.178",="-0.007",="0.000",="-0.042",="0.371",="0.000",="0.371",="0.084*",="0.000",="0.049",="-2.657*",="0.000",="-0.699",="0.267*",="0.000",="0.390**"
="",="(0.412)",="(.)",="(0.446)",="(0.057)",="(.)",="(0.061)",="(0.347)",="(.)",="(0.369)",="(0.048)",="(.)",="(0.052)",="(1.507)",="(.)",="(1.710)",="(0.141)",="(.)",="(0.154)"

="2016.year#c.totaltreat_pw",="0.192",="0.000",="0.126",="0.104*",="0.000",="0.074",="0.170",="0.000",="0.173",="0.118**",="0.000",="0.099*",="-2.984*",="0.000",="-0.532",="0.684***",="0.000",="0.822***"
="",="(0.406)",="(.)",="(0.440)",="(0.055)",="(.)",="(0.058)",="(0.367)",="(.)",="(0.410)",="(0.051)",="(.)",="(0.053)",="(1.623)",="(.)",="(1.848)",="(0.166)",="(.)",="(0.179)"

="N",="32221",="15080",="16098",="96672",="19443",="76030",="32278",="15110",="16125",="96788",="19488",="76104",="32408",="15176",="16192",="96984",="19552",="76232"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
