
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totaltreat_pw",="0.036",="0.000",="-0.042",="-0.296***",="0.000",="-0.160***",="0.102",="0.000",="0.071",="-0.323***",="0.000",="-0.162***",="0.028",="0.000",="-1.504**",="0.364***",="0.000",="0.062"
="",="(0.149)",="(.)",="(0.155)",="(0.024)",="(.)",="(0.032)",="(0.121)",="(.)",="(0.133)",="(0.022)",="(.)",="(0.029)",="(0.512)",="(.)",="(0.611)",="(0.055)",="(.)",="(0.078)"

="2010.year#c.totaltreat_pw",="-0.009",="0.000",="-0.032",="-0.180***",="0.000",="-0.082***",="0.096",="0.000",="0.049",="-0.293***",="0.000",="-0.179***",="-0.311",="0.000",="-0.991*",="0.545***",="0.000",="0.270***"
="",="(0.120)",="(.)",="(0.128)",="(0.022)",="(.)",="(0.030)",="(0.109)",="(.)",="(0.121)",="(0.019)",="(.)",="(0.026)",="(0.494)",="(.)",="(0.570)",="(0.054)",="(.)",="(0.077)"

="2011.year#c.totaltreat_pw",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2012.year#c.totaltreat_pw",="-0.154",="0.000",="-0.104",="0.107***",="0.000",="0.146***",="-0.110",="0.000",="-0.100",="-0.101***",="0.000",="-0.053**",="0.399",="0.000",="1.455***",="0.005",="0.000",="0.129**"
="",="(0.127)",="(.)",="(0.141)",="(0.021)",="(.)",="(0.028)",="(0.109)",="(.)",="(0.124)",="(0.018)",="(.)",="(0.023)",="(0.335)",="(.)",="(0.403)",="(0.049)",="(.)",="(0.064)"

="2013.year#c.totaltreat_pw",="-0.303**",="0.000",="-0.164",="0.172***",="0.000",="0.195***",="-0.214*",="0.000",="-0.171",="-0.043**",="0.000",="-0.015",="0.358",="0.000",="2.271***",="0.239***",="0.000",="0.449***"
="",="(0.139)",="(.)",="(0.148)",="(0.024)",="(.)",="(0.033)",="(0.126)",="(.)",="(0.137)",="(0.021)",="(.)",="(0.027)",="(0.347)",="(.)",="(0.413)",="(0.061)",="(.)",="(0.081)"

="2014.year#c.totaltreat_pw",="-0.377***",="0.000",="-0.210",="0.244***",="0.000",="0.254***",="-0.294**",="0.000",="-0.218",="0.123***",="0.000",="0.130***",="0.020",="0.000",="2.609***",="0.339***",="0.000",="0.667***"
="",="(0.141)",="(.)",="(0.149)",="(0.024)",="(.)",="(0.033)",="(0.129)",="(.)",="(0.140)",="(0.021)",="(.)",="(0.027)",="(0.381)",="(.)",="(0.430)",="(0.063)",="(.)",="(0.085)"

="2015.year#c.totaltreat_pw",="-0.261*",="0.000",="-0.034",="-0.318***",="0.000",="-0.291***",="-0.191",="0.000",="-0.063",="-0.240***",="0.000",="-0.228***",="-0.593",="0.000",="2.658***",="0.334***",="0.000",="0.771***"
="",="(0.151)",="(.)",="(0.159)",="(0.028)",="(.)",="(0.041)",="(0.133)",="(.)",="(0.145)",="(0.024)",="(.)",="(0.034)",="(0.427)",="(.)",="(0.510)",="(0.067)",="(.)",="(0.093)"

="2016.year#c.totaltreat_pw",="-0.462***",="0.000",="-0.191",="0.281***",="0.000",="0.285***",="-0.340**",="0.000",="-0.189",="0.219***",="0.000",="0.189***",="-0.526",="0.000",="3.131***",="0.850***",="0.000",="1.316***"
="",="(0.141)",="(.)",="(0.156)",="(0.026)",="(.)",="(0.036)",="(0.137)",="(.)",="(0.152)",="(0.024)",="(.)",="(0.032)",="(0.486)",="(.)",="(0.488)",="(0.073)",="(.)",="(0.103)"

="N",="506263",="357567",="148133",="759229",="474259",="284570",="507121",="358189",="148368",="760447",="475071",="284976",="508616",="359056",="148992",="762672",="476320",="285952"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
