
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totalzero_pf",="0.011",="0.023",="0.022",="",="",="",="",="",="",="",="",=""
="",="(0.028)",="(0.028)",="(0.028)",="",="",="",="",="",="",="",="",=""

="2010.year#c.totalzero_pf",="0.028",="0.022",="0.022",="",="",="",="",="",="",="",="",=""
="",="(0.022)",="(0.021)",="(0.021)",="",="",="",="",="",="",="",="",=""

="2011.year#c.totalzero_pf",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",=""

="2012.year#c.totalzero_pf",="0.045**",="0.040**",="0.040**",="",="",="",="",="",="",="",="",=""
="",="(0.018)",="(0.020)",="(0.020)",="",="",="",="",="",="",="",="",=""

="2013.year#c.totalzero_pf",="0.056**",="0.041",="0.042",="",="",="",="",="",="",="",="",=""
="",="(0.024)",="(0.026)",="(0.026)",="",="",="",="",="",="",="",="",=""

="2014.year#c.totalzero_pf",="0.070**",="0.051",="0.051",="",="",="",="",="",="",="",="",=""
="",="(0.030)",="(0.031)",="(0.031)",="",="",="",="",="",="",="",="",=""

="2015.year#c.totalzero_pf",="0.051",="0.023",="0.023",="",="",="",="",="",="",="",="",=""
="",="(0.035)",="(0.037)",="(0.037)",="",="",="",="",="",="",="",="",=""

="2016.year#c.totalzero_pf",="0.075*",="0.038",="0.038",="",="",="",="",="",="",="",="",=""
="",="(0.041)",="(0.043)",="(0.043)",="",="",="",="",="",="",="",="",=""

="2009.year#c.totalzero_pw",="",="",="",="-0.129",="-0.287",="-0.287",="",="",="",="",="",=""
="",="",="",="",="(0.364)",="(0.320)",="(0.320)",="",="",="",="",="",=""

="2010.year#c.totalzero_pw",="",="",="",="0.171",="-0.042",="-0.041",="",="",="",="",="",=""
="",="",="",="",="(0.340)",="(0.285)",="(0.285)",="",="",="",="",="",=""

="2011.year#c.totalzero_pw",="",="",="",="0.000",="0.000",="0.000",="",="",="",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",="",="",="",=""

="2012.year#c.totalzero_pw",="",="",="",="0.649***",="0.621***",="0.622***",="",="",="",="",="",=""
="",="",="",="",="(0.189)",="(0.186)",="(0.186)",="",="",="",="",="",=""

="2013.year#c.totalzero_pw",="",="",="",="0.669***",="0.656***",="0.657***",="",="",="",="",="",=""
="",="",="",="",="(0.222)",="(0.216)",="(0.216)",="",="",="",="",="",=""

="2014.year#c.totalzero_pw",="",="",="",="0.761***",="0.733***",="0.734***",="",="",="",="",="",=""
="",="",="",="",="(0.236)",="(0.231)",="(0.231)",="",="",="",="",="",=""

="2015.year#c.totalzero_pw",="",="",="",="0.419",="0.374",="0.375",="",="",="",="",="",=""
="",="",="",="",="(0.273)",="(0.265)",="(0.265)",="",="",="",="",="",=""

="2016.year#c.totalzero_pw",="",="",="",="0.420",="0.451",="0.452",="",="",="",="",="",=""
="",="",="",="",="(0.304)",="(0.299)",="(0.299)",="",="",="",="",="",=""

="2009.year#c.avg_flowzero_pf",="",="",="",="",="",="",="0.021",="0.037",="0.037",="",="",=""
="",="",="",="",="",="",="",="(0.035)",="(0.036)",="(0.036)",="",="",=""

="2010.year#c.avg_flowzero_pf",="",="",="",="",="",="",="0.051**",="0.049*",="0.048*",="",="",=""
="",="",="",="",="",="",="",="(0.025)",="(0.026)",="(0.026)",="",="",=""

="2011.year#c.avg_flowzero_pf",="",="",="",="",="",="",="0.000",="0.000",="0.000",="",="",=""
="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="",="",=""

="2012.year#c.avg_flowzero_pf",="",="",="",="",="",="",="0.026",="0.026",="0.026",="",="",=""
="",="",="",="",="",="",="",="(0.023)",="(0.024)",="(0.024)",="",="",=""

="2013.year#c.avg_flowzero_pf",="",="",="",="",="",="",="0.019",="0.008",="0.008",="",="",=""
="",="",="",="",="",="",="",="(0.030)",="(0.032)",="(0.032)",="",="",=""

