
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="2009.year#c.totalzero_pf",="0.043***",="0.037***",="0.037***",="",="",="",="",="",="",="",="",=""
="",="(0.009)",="(0.009)",="(0.009)",="",="",="",="",="",="",="",="",=""

="2010.year#c.totalzero_pf",="0.022***",="0.021***",="0.021***",="",="",="",="",="",="",="",="",=""
="",="(0.007)",="(0.007)",="(0.007)",="",="",="",="",="",="",="",="",=""

="2011.year#c.totalzero_pf",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",=""

="2012.year#c.totalzero_pf",="-0.001",="-0.001",="-0.001",="",="",="",="",="",="",="",="",=""
="",="(0.007)",="(0.007)",="(0.007)",="",="",="",="",="",="",="",="",=""

="2013.year#c.totalzero_pf",="-0.015*",="-0.021**",="-0.021**",="",="",="",="",="",="",="",="",=""
="",="(0.008)",="(0.009)",="(0.009)",="",="",="",="",="",="",="",="",=""

="2014.year#c.totalzero_pf",="-0.023**",="-0.032***",="-0.032***",="",="",="",="",="",="",="",="",=""
="",="(0.010)",="(0.011)",="(0.011)",="",="",="",="",="",="",="",="",=""

="2015.year#c.totalzero_pf",="-0.036***",="-0.027**",="-0.027**",="",="",="",="",="",="",="",="",=""
="",="(0.011)",="(0.012)",="(0.012)",="",="",="",="",="",="",="",="",=""

="2016.year#c.totalzero_pf",="-0.006",="-0.013",="-0.013",="",="",="",="",="",="",="",="",=""
="",="(0.011)",="(0.012)",="(0.012)",="",="",="",="",="",="",="",="",=""

="2009.year#c.totalzero_pw",="",="",="",="0.293***",="0.244***",="0.244***",="",="",="",="",="",=""
="",="",="",="",="(0.082)",="(0.073)",="(0.073)",="",="",="",="",="",=""

="2010.year#c.totalzero_pw",="",="",="",="0.125",="0.104",="0.104",="",="",="",="",="",=""
="",="",="",="",="(0.079)",="(0.074)",="(0.074)",="",="",="",="",="",=""

="2011.year#c.totalzero_pw",="",="",="",="0.000",="0.000",="0.000",="",="",="",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",="",="",="",=""

="2012.year#c.totalzero_pw",="",="",="",="-0.021",="-0.037",="-0.037",="",="",="",="",="",=""
="",="",="",="",="(0.059)",="(0.055)",="(0.055)",="",="",="",="",="",=""

="2013.year#c.totalzero_pw",="",="",="",="-0.095",="-0.107",="-0.108",="",="",="",="",="",=""
="",="",="",="",="(0.072)",="(0.070)",="(0.070)",="",="",="",="",="",=""

="2014.year#c.totalzero_pw",="",="",="",="-0.195***",="-0.213***",="-0.213***",="",="",="",="",="",=""
="",="",="",="",="(0.071)",="(0.072)",="(0.072)",="",="",="",="",="",=""

="2015.year#c.totalzero_pw",="",="",="",="0.194**",="0.171*",="0.171*",="",="",="",="",="",=""
="",="",="",="",="(0.096)",="(0.088)",="(0.088)",="",="",="",="",="",=""

="2016.year#c.totalzero_pw",="",="",="",="-0.133",="-0.092",="-0.092",="",="",="",="",="",=""
="",="",="",="",="(0.082)",="(0.081)",="(0.081)",="",="",="",="",="",=""

="2009.year#c.avg_flowzero_pf",="",="",="",="",="",="",="0.057***",="0.047***",="0.047***",="",="",=""
="",="",="",="",="",="",="",="(0.011)",="(0.011)",="(0.011)",="",="",=""

="2010.year#c.avg_flowzero_pf",="",="",="",="",="",="",="0.024***",="0.022**",="0.022**",="",="",=""
="",="",="",="",="",="",="",="(0.008)",="(0.009)",="(0.009)",="",="",=""

="2011.year#c.avg_flowzero_pf",="",="",="",="",="",="",="0.000",="0.000",="0.000",="",="",=""
="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="",="",=""

="2012.year#c.avg_flowzero_pf",="",="",="",="",="",="",="-0.005",="-0.003",="-0.003",="",="",=""
="",="",="",="",="",="",="",="(0.008)",="(0.008)",="(0.008)",="",="",=""

="2013.year#c.avg_flowzero_pf",="",="",="",="",="",="",="-0.029***",="-0.033***",="-0.033***",="",="",=""
="",="",="",="",="",="",="",="(0.010)",="(0.011)",="(0.011)",="",="",=""

="2014.year#c.avg_flowzero_pf",="",="",="",="",="",="",="-0.043***",="-0.050***",="-0.050***",="",="",=""
="",="",="",="",="",="",="",="(0.012)",="(0.013)",="(0.013)",="",="",=""

="2015.year#c.avg_flowzero_pf",="",="",="",="",="",="",="-0.055***",="-0.038***",="-0.038***",="",="",=""
="",="",="",="",="",="",="",="(0.014)",="(0.015)",="(0.015)",="",="",=""

="2016.year#c.avg_flowzero_pf",="",="",="",="",="",="",="-0.027**",="-0.031**",="-0.031**",="",="",=""
="",="",="",="",="",="",="",="(0.014)",="(0.015)",="(0.015)",="",="",=""

="1.treat_ultra#2009.year",="",="",="",="",="",="",="",="",="",="0.002*",="0.007***",="0.007***"
="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.001)",="(0.001)"

="1.treat_ultra#2010.year",="",="",="",="",="",="",="",="",="",="-0.001",="0.001",="0.001"
="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.001)",="(0.001)"

="1.treat_ultra#2011.year",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)"

="1.treat_ultra#2012.year",="",="",="",="",="",="",="",="",="",="-0.004***",="0.002",="0.002"
="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.001)",="(0.001)"

="1.treat_ultra#2013.year",="",="",="",="",="",="",="",="",="",="-0.007***",="-0.001",="-0.001"
="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.001)",="(0.001)"

="1.treat_ultra#2014.year",="",="",="",="",="",="",="",="",="",="-0.005***",="0.001",="0.001"
="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.002)",="(0.002)"

