
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="2009.year#c.totaltreat_pf",="-0.017",="-0.132",="-0.133",="-0.130",="-0.131",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.101)",="(0.096)",="(0.096)",="(0.096)",="(0.096)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf",="-0.007",="-0.127*",="-0.127*",="-0.127*",="-0.127*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.054)",="(0.069)",="(0.069)",="(0.069)",="(0.069)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf",="0.020",="0.016",="0.017",="0.018",="0.018",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.059)",="(0.062)",="(0.061)",="(0.061)",="(0.061)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf",="-0.034",="-0.105",="-0.105",="-0.099",="-0.099",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.079)",="(0.098)",="(0.098)",="(0.098)",="(0.098)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf",="-0.004",="-0.129",="-0.129",="-0.117",="-0.117",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.097)",="(0.118)",="(0.117)",="(0.117)",="(0.117)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf",="-0.069",="-0.132",="-0.132",="-0.120",="-0.120",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.120)",="(0.142)",="(0.142)",="(0.141)",="(0.141)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf",="-0.058",="-0.091",="-0.091",="-0.074",="-0.074",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.130)",="(0.147)",="(0.147)",="(0.146)",="(0.146)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.totaltreat_pw",="",="",="",="",="",="-1.441",="-1.959",="-1.993",="-1.981",="-1.982",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(1.791)",="(1.714)",="(1.718)",="(1.717)",="(1.717)",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pw",="",="",="",="",="",="0.067",="0.303",="0.299",="0.298",="0.297",="",="",="",="",="",="",="",="",="",=""
