
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="2009.year#c.totaltreat_pf",="0.048",="-0.024",="-0.023",="-0.023",="-0.023",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.044)",="(0.048)",="(0.048)",="(0.048)",="(0.048)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf",="0.023",="-0.022",="-0.021",="-0.021",="-0.021",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.032)",="(0.035)",="(0.035)",="(0.035)",="(0.035)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf",="0.063**",="0.053",="0.053",="0.053",="0.053",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.028)",="(0.038)",="(0.038)",="(0.038)",="(0.038)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf",="0.032",="0.016",="0.017",="0.017",="0.017",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.030)",="(0.035)",="(0.035)",="(0.035)",="(0.035)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf",="0.046",="0.033",="0.034",="0.033",="0.033",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.033)",="(0.041)",="(0.041)",="(0.041)",="(0.041)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf",="0.071*",="0.054",="0.055",="0.054",="0.054",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.038)",="(0.045)",="(0.045)",="(0.045)",="(0.045)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf",="0.067*",="0.029",="0.030",="0.029",="0.029",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.040)",="(0.050)",="(0.050)",="(0.050)",="(0.050)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.totaltreat_pw",="",="",="",="",="",="0.329",="-0.323",="-0.301",="-0.300",="-0.300",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.739)",="(0.659)",="(0.664)",="(0.664)",="(0.664)",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pw",="",="",="",="",="",="0.464",="0.044",="0.070",="0.070",="0.070",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.381)",="(0.400)",="(0.406)",="(0.406)",="(0.406)",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pw",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pw",="",="",="",="",="",="0.107",="-0.152",="-0.155",="-0.154",="-0.153",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.422)",="(0.512)",="(0.512)",="(0.512)",="(0.512)",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pw",="",="",="",="",="",="0.278",="0.134",="0.141",="0.141",="0.141",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.466)",="(0.563)",="(0.564)",="(0.564)",="(0.564)",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pw",="",="",="",="",="",="0.317",="0.217",="0.234",="0.230",="0.230",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.462)",="(0.587)",="(0.591)",="(0.592)",="(0.592)",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pw",="",="",="",="",="",="0.352",="-0.015",="0.011",="0.007",="0.006",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.414)",="(0.466)",="(0.467)",="(0.467)",="(0.468)",="",="",="",="",="",="",="",="",="",=""

