
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="2009.year#c.totaltreat_pf",="0.048",="0.031",="0.032",="0.032",="0.032",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.033)",="(0.033)",="(0.033)",="(0.033)",="(0.033)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pf",="0.007",="0.019",="0.020",="0.020",="0.020",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.028)",="(0.025)",="(0.025)",="(0.025)",="(0.025)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pf",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pf",="0.035*",="0.034",="0.033",="0.033",="0.034",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.020)",="(0.025)",="(0.025)",="(0.025)",="(0.025)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf",="0.037",="0.045*",="0.045*",="0.045*",="0.045*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.025)",="(0.027)",="(0.027)",="(0.027)",="(0.027)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf",="0.041",="0.036",="0.037",="0.036",="0.036",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.029)",="(0.034)",="(0.034)",="(0.034)",="(0.034)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf",="0.069**",="0.058",="0.059",="0.058",="0.058",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.034)",="(0.039)",="(0.039)",="(0.039)",="(0.039)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf",="0.069*",="0.036",="0.036",="0.035",="0.035",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.038)",="(0.045)",="(0.045)",="(0.045)",="(0.045)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.totaltreat_pw",="",="",="",="",="",="0.612",="0.528",="0.549",="0.551",="0.551",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.496)",="(0.428)",="(0.428)",="(0.428)",="(0.428)",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pw",="",="",="",="",="",="0.408",="0.621*",="0.635**",="0.635*",="0.635**",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.377)",="(0.325)",="(0.324)",="(0.324)",="(0.324)",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pw",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pw",="",="",="",="",="",="0.067",="0.137",="0.122",="0.122",="0.122",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.189)",="(0.245)",="(0.244)",="(0.244)",="(0.244)",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pw",="",="",="",="",="",="0.498",="0.610",="0.610",="0.609",="0.610",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.334)",="(0.416)",="(0.416)",="(0.416)",="(0.416)",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pw",="",="",="",="",="",="0.577*",="0.643*",="0.650*",="0.647*",="0.647*",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.311)",="(0.372)",="(0.373)",="(0.374)",="(0.374)",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pw",="",="",="",="",="",="0.365",="0.241",="0.249",="0.246",="0.245",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.344)",="(0.427)",="(0.427)",="(0.428)",="(0.428)",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pw",="",="",="",="",="",="0.174",="-0.074",="-0.068",="-0.070",="-0.070",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.366)",="(0.441)",="(0.441)",="(0.441)",="(0.441)",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="0.042",="-0.007",="-0.003",="-0.003",="-0.003",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.067)",="(0.069)",="(0.069)",="(0.069)",="(0.069)",="",="",="",="",=""

="2010.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="-0.011",="-0.035",="-0.032",="-0.033",="-0.033",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.028)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="",="",="",="",=""

="2011.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",=""

="2012.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="-0.010",="-0.067",="-0.068",="-0.068",="-0.068",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.031)",="(0.043)",="(0.043)",="(0.043)",="(0.043)",="",="",="",="",=""

="2013.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="-0.037",="-0.107**",="-0.105**",="-0.105**",="-0.105*",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.044)",="(0.054)",="(0.054)",="(0.054)",="(0.054)",="",="",="",="",=""

="2014.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="-0.019",="-0.155***",="-0.154***",="-0.155***",="-0.155***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.048)",="(0.057)",="(0.057)",="(0.057)",="(0.057)",="",="",="",="",=""

="2015.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="-0.008",="-0.152**",="-0.151**",="-0.153**",="-0.153**",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.054)",="(0.066)",="(0.066)",="(0.066)",="(0.066)",="",="",="",="",=""

="2016.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="0.010",="-0.211***",="-0.210***",="-0.212***",="-0.212***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.058)",="(0.073)",="(0.074)",="(0.073)",="(0.073)",="",="",="",="",=""

="1.treat_ultra#2009.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.006*",="-0.005",="-0.004",="-0.004",="-0.004"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="1.treat_ultra#2010.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.002",="-0.000",="0.000",="0.001",="0.001"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="1.treat_ultra#2011.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.treat_ultra#2012.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.013***",="0.016***",="0.016***",="0.016***",="0.016***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="1.treat_ultra#2013.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.014***",="0.017***",="0.017***",="0.018***",="0.018***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="1.treat_ultra#2014.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.020***",="0.016***",="0.016***",="0.018***",="0.018***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="1.treat_ultra#2015.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.021***",="0.017***",="0.017***",="0.020***",="0.020***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="1.treat_ultra#2016.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.020***",="0.012**",="0.012**",="0.015**",="0.015**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.004)",="(0.006)",="(0.006)",="(0.006)",="(0.006)"

="N",="29056",="25280",="25280",="25280",="25280",="30167",="26415",="26415",="26415",="26415",="21396",="17666",="17666",="17666",="17666",="130830",="126431",="126431",="119961",="119961"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
